language,1A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,81A,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,10A,110A,71A,72A,73A,74A,75A,76A,77A,78A,79A,7A,80A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A
Finnish,Moderately small,Exclusively concatenative,Case + number,2-3 categories per word,Dependent marking,Double marking,Inconsistent or other,Strongly suffixing,No productive reduplication,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,No associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Special,Identical,Pronouns only,10 or more cases,In both plosives and fricatives,Additive-quantitatively asymmetrical,Case suffixes,Differentiation,"First, second, three-th",No distributive numerals,Absent,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Double-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,SV,VO,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Second position,Initial interrogative phrase,Initial subordinator word,VO and Postpositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Mixed,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Modal morpheme,None,No glottalized consonants,None,Morphological but no compound,Negative auxiliary verb,Asymmetric,A/Fin,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,High and mid,Impossible
Franco-Provençal,Average,Exclusively concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Head marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Different stem,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Mixed,Identical,Pronouns only,3 cases,In both plosives and fricatives,Syncretism in relevant NP-types,Case suffixes,Mixed,"First, second, three-th",Marked by suffix,Absent,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Marked by preceding word,No action nominals,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,SV,VO,XOV,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"Laterals, but no /l/, no obstruent laterals",Relative clause-Noun,No dominant order,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Subject affixes on verb,Both the A and P arguments,No person marking,A and P do not or do not both occur on the verb,Double-object construction,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Both,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Direct and indirect,No grammatical evidentials,None,No glottalized consonants,None,Neither,Negative auxiliary verb,Both,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,None,Possible
Friulian,Moderately large,Exclusively concatenative,Case + number,4-5 categories per word,Double marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person stem + pronominal plural affix,Unique affixal associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Average,No person marking,Two-way contrast,Different stem,Related for all demonstratives,"3rd person only, but also non-singular",Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,10 or more cases,In plosives alone,Symmetrical,Case suffixes,Identity,"First, second, three-th",Marked by reduplication,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,Two classes,None missing in /p t k b d g/,Highly differentiated,Without marking,Possessive-Accusative,'And' different from 'with',Differentiation,Grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,OXV,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Adjective-Degree word,Second position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,Other,VO and AdjN,Nominative - accusative (standard),Neutral,Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Verbal affix or clitic,Tense and aspect,No glottalized consonants,None,Morphological but no compound,"Negative word, unclear if verb or particle",Both,Non-assignable,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Different,High and mid,Possible
Gagauz,Average,Tonal/isolating,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,No productive reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, optional in inanimates",Person-number stem,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately low,No person marking,Three-way contrast,Different inflection,Unrelated,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,Pronouns only,No morphological case-marking,In both plosives and fricatives,Syncretism in relevant NP-types,No case affixes or adpositional clitics,Identity,"One-th, two-th, three-th",Marked by suffix,Absent,Formally different,No possessive affixes,Exists,Two classes,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Marked by following word,No action nominals,'And' different from 'with',Differentiation,No grammatical marking,"Present, 2-3 remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,VS,OV,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,No dominant order,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Optional pronouns in subject position,No person marking,No zero realization,A and P do not or do not both occur on the verb,Mixed,Mixed,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Both,Special imperative + special negative,Neither type of system,Inflectional optative present,Affixes on verbs,Verbal constructions,Overlap for either possibility or necessity,Direct and indirect,Part of the tense system,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,A/Fin,Predicate negation also present,Question particle,Locational,Verbal encoding,Identical,None,Impossible
Galician,Moderately large,Exclusively concatenative,Monoexponential case,2-3 categories per word,Double marking,Head marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Two,No gender,Semantic and formal,Plural suffix,No nominal plural,Person-number stem + pronominal plural affix,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Average,No inclusive/exclusive,Four-way contrast,Identical,Related for all demonstratives,"3rd person only, but also non-singular",Multiple politeness distinctions,Interrogative-based,Identical,No person marking,No morphological case-marking,In plosives alone,No case-marking,Case suffixes,Mixed,"First, second, three-th",Marked by preceding word,Optional,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,Missing /g/,Highly differentiated,Marked by mixed or other strategies,Possessive-Accusative,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,No tense-aspect inflection,None,Second singular and second plural,VSO,No dominant order,OV,No dominant order,Postpositions,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Neutral,Accusative,Optional pronouns in subject position,Both the A and P arguments,Zero in all 3sg forms,P precedes A,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; only transitive,Contrast absent,Sequential but no purposive,Special imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Affixes on verbs,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense,Implosives only,None,Morphological but no compound,Negative affix,Asymmetric,A/Cat,Predicate negation also present,Interrogative verb morphology,'Have',Nonverbal encoding,Identical,None,Impossible
Georgian,Moderately large,Exclusively concatenative,Monoexponential case,8-9 categories per word,Double marking,Dependent marking,Inconsistent or other,Weakly suffixing,Productive full and partial reduplication,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,'We' the same as 'I',Three-way contrast,Different inflection,Related to remote demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,No person marking,6-7 cases,In both plosives and fricatives,Subtractive-quantitatively asymmetrical,Case suffixes,Mixed,"First, two-th, three-th",Marked by reduplication,Absent,Formally different,No possessive affixes,Absent,No possessive classification,Other,Highly differentiated,Without marking,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,Uvular stops and continuants,No second-person imperatives,SOV,SV,OV,OXV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"Laterals, but no /l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and NRel,OV and AdjN,Active-inactive,Neutral,Accusative,Subject pronouns in different position,Both the A and P arguments,No zero realization,P precedes A,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative present,Verbal constructions,Other,Overlap for either possibility or necessity,Direct and indirect,Mixed,Tense and aspect,Ejectives only,"Singular-plural pairs, no suppletion",Morphological but no compound,Negative particle,Symmetric,Non-assignable,Mixed behaviour,Interrogative intonation only,'Have',Nonverbal encoding,Identical,None,Impossible
German,Large,Exclusively isolating,Case + number,6-7 categories per word,Dependent marking,Double marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Three,No gender,Semantic and formal,No plural,No nominal plural,Person-number stem,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Special,Identical,No adpositions,No morphological case-marking,In plosives alone,Additive-quantitatively asymmetrical,Case suffixes,Mixed,"First, second, three-th",Marked by reduplication,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by suffix,Ergative-Possessive,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,Uvular continuants only,Second singular and second plural,No dominant order,SV,OV,XOV,No adpositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,No question particle,Initial interrogative phrase,Final subordinator word,VO and Prepositions,OV and NRel,OV and NAdj,Active-inactive,Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,Zero in all 3rd person forms,P precedes A,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Both,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,Modal morpheme,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative affix,Symmetric,Non-assignable,Predicate negation also present,Interrogative verb morphology,'Have',Verbal encoding,Different,None,Impossible
Gilaki,Average,Tonal/isolating,Case + number,2-3 categories per word,No marking,Dependent marking,Zero-marking,Strongly suffixing,Full reduplication only,No case marking,No subject person/number marking,None,Sex-based,Semantic and formal,Plural suffix,"All nouns, optional in inanimates",Person-number stem + pronominal plural affix,Unique affixal associative plural,Demonstrative word used as definite article,Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,No person marking,No morphological case-marking,In plosives alone,Symmetrical,Case suffixes,Identity,"First, second, three-th",Marked by reduplication,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by mixed or other strategies,Mixed,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular,SOV,SV,VO,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and AdjN,Ergative - absolutive,Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,Oblique patient,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,Verbal affix or clitic,Tense,No glottalized consonants,"Singular-plural pairs, suppletion",Morphological but no compound,"Negative word, unclear if verb or particle",Asymmetric,Non-assignable,Predicate negation also present,Interrogative word order,Topic,Nonverbal encoding,Different,High and mid,Impossible
Greek,Average,Exclusively concatenative,Case + number,4-5 categories per word,Double marking,Double marking,Double-marking,Strongly suffixing,No productive reduplication,Core and non-core,Not syncretic,Three,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,No associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Three-way contrast,Identical,Related for all demonstratives,3rd person singular only,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,3 cases,In both plosives and fricatives,Syncretism in relevant NP-types,Case suffixes,Identity,"First, second, three-th",Marked by preceding word,Absent,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by preceding word,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,From possessive,Tense-aspect suffixes,None,Second singular and second plural,No dominant order,No dominant order,VO,No dominant order,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,P precedes A,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Neither,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,None,Impossible
Guarani,Average,Ablaut/concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,Core and non-core,Not syncretic,Two,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,No definite or indefinite article,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No person marking,Two-way contrast,Identical,Related to remote demonstratives,No gender distinctions,Binary politeness distinction,Special,Identical,Pronouns only,6-7 cases,In both plosives and fricatives,No case-marking,Case suffixes,Identity,"First, second, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by preceding word,No action nominals,'And' different from 'with',Identity,No grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,VSO,SV,OV,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,OV and NRel,OV and AdjN,Neutral,Nominative - accusative (standard),Ergative,Subject affixes on verb,Both the A and P arguments,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Affixes on verbs,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Cat,Predicate negation also present,Question particle,'Have',Mixed,Different,High only,Possible
Gujarati,Average,Ablaut/concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,Core and non-core,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,3rd person singular only,Pronouns avoided for politeness,Special,Identical,Pronouns only,5 cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First, two-th, three-th",Marked by prefix,Absent,"Formally similar, with interrogative",No possessive affixes,Exists,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by suffix,Ergative-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Neutral,Subject affixes on verb,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,Non-assignable,Predicate negation also present,Interrogative intonation only,'Have',Nonverbal encoding,Identical,None,Impossible
Hakka,Moderately small,Exclusively concatenative,No case,4-5 categories per word,Dependent marking,Dependent marking,Double-marking,Strongly suffixing,Full reduplication only,No case marking,Not syncretic,None,Sex-based,Semantic,Plural suffix,"All nouns, always obligatory",Person stem + nominal plural affix,Unique periphrastic associative plural,"No definite, but indefinite article",Indefinite word same as 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Different inflection,Related to remote demonstratives,3rd person singular only,Binary politeness distinction,Interrogative-based,Identical,No person marking,No morphological case-marking,No voicing contrast,No case-marking,Case suffixes,Differentiation,"First, second, three-th",Marked by reduplication,Optional,"Formally similar, without interrogative",No possessive affixes,Absent,Two classes,Other,Highly differentiated,Without marking,No action nominals,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular,SVO,SV,VO,XVO,Postpositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,No dominant order,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and RelN,OV and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,No person marking,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,"Singular-plural pairs, suppletion",Morphological but no compound,Negative particle,Symmetric,A/Cat,Predicate negation also present,Interrogative word order,Locational,Nonverbal encoding,Different,None,Impossible
Hausa,Moderately large,Exclusively isolating,No case,6-7 categories per word,Double marking,Dependent marking,Inconsistent or other,Little affixation,Productive full and partial reduplication,No syncretism,No subject person/number marking,Two,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',No inclusive/exclusive,Moderately high,No person marking,Four-way contrast,Identical,Unrelated,In 3rd person + 1st and/or 2nd person,No politeness distinction,Generic-noun-based,Identical,Pronouns only,No morphological case-marking,In both plosives and fricatives,No case-marking,No case affixes or adpositional clitics,Identity,"First, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",Possessive suffixes,Absent,No possessive classification,Missing /p/,Genitives and adjectives collapsed,Marked by preceding word,Restricted,'And' identical to 'with',Differentiation,No grammatical marking,No past tense,No inflectional future,No perfect,No tense-aspect inflection,None,Second singular,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Adjective-Noun,Mixed,Noun-Numeral,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,Final,Mixed,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Neutral,Neutral,Neutral,Subject pronouns in different position,No person marking,No person marking,A and P do not or do not both occur on the verb,Secondary-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Sequential but no purposive,Special imperative + special negative,Both types of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,None,Ejectives and implosives,None,Morphological but no compound,Negative particle,Both,A/Cat,Predicate negation also present,Question particle,Conjunctional,Nonverbal encoding,Different,None,Impossible
Hebrew,Average,Ablaut/concatenative,No case,4-5 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Weakly suffixing,Productive full and partial reduplication,No case marking,Syncretic,Two,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,No associative plural,Definite affix,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,In 3rd person + 1st and/or 2nd person,No politeness distinction,Interrogative-based,Identical,Pronouns only,No morphological case-marking,In fricatives alone,No case-marking,Prepositional clitics,Identity,"First, two-th, three-th",No distributive numerals,Absent,"Formally similar, without interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Mixed,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Mixed type,None,Second singular and second plural,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,No dominant order,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Mixed,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Fin,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,None,Possible
Hindi,Large,Exclusively concatenative,Monoexponential case,2-3 categories per word,Double marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Syncretic,Two,Sex-based,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,No associative plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Moderately high,No person marking,Two-way contrast,Different inflection,Related for all demonstratives,No gender distinctions,Multiple politeness distinctions,Special,Identical,No person marking,10 or more cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Marked by following word,Possessive-Accusative,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,OV,VOX,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Correlative,Degree word-Adjective,Initial,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,Other,OV and AdjN,Tripartite,Tripartite,Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Morphological but no compound,Negative particle,Both,A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,None,Impossible
