language1,language2,dtw_dist
Basque,Basque,0
Basque,Alemannic,2.060926506841034
Basque,Wolof,1.2106404285963164
Basque,Bosnian,1.6945038430434805
Basque,Urdu,1.1134902325632914
Basque,Afrikaans,2.2271069162360777
Basque,Anglo-Saxon,1.9596573685399044
Basque,Slovak,1.8018093941026754
Basque,Silesian,1.9570386578727823
Basque,Acehnese,1.5586122753361322
Basque,Wu,1.1474226743212013
Basque,Bashkir,1.4235874809173632
Basque,Chuvash,1.518413238367542
Basque,Gagauz,1.4763513174799674
Basque,Karachay-Balkar,0.9357654108668689
Basque,Sakha,1.4413601707866572
Basque,Tamil,1.3527001606414855
Basque,Telugu,1.2770663118153651
Basque,Georgian,1.391153245191688
Basque,Tatar,1.5793533705409462
Basque,Uyghur,1.2701971158775924
Basque,Icelandic,2.1223427416879046
Basque,Belarusian,1.7704881138905058
Basque,Gujarati,2.034791090773879
Basque,Marathi,2.173822370501582
Basque,Estonian,1.795161480261132
Basque,Finnish,1.759306915604395
Basque,Hungarian,2.776375981962612
Basque,Bulgarian,1.5419441835651968
Basque,Yoruba,1.5086113161972556
Basque,Quechua,1.228427620182841
Basque,Croatian,2.0223694104684973
Basque,Macedonian,1.9242431523010914
Basque,Serbo-Croatian,2.3445219278498555
Basque,Pangasinan,2.0985254954330728
Basque,Kapampangan,1.739279091746298
Basque,Khmer,1.034906940677696
Basque,Javanese,1.448942206672089
Basque,Malay,1.4889726294141
Basque,Sundanese,1.83779178140035
Basque,Hakka,1.850831678434194
Basque,Turkish,1.5123049107905646
Basque,Kazakh,1.0423378571447546
Basque,Kirghiz,1.2991423119895487
Basque,Turkmen,1.4937104738491493
Basque,Persian,1.4313826056949486
Basque,Tajik,1.0756096860785123
Basque,Latin,0.9406934826438227
Basque,Galician,2.181594012740213
Basque,Romanian,1.7131382619510984
Basque,Norman,2.2365150348065304
Basque,Corsican,2.256136262555407
Basque,Bengali,1.5893408812800351
Basque,Waray,3.2063735783456115
Basque,Welsh,1.9615800698157324
Basque,Armenian,1.1971876537852224
Basque,Korean,0.5514160052617938
Basque,Assamese,1.0997617715811043
Basque,Bhojpuri,1.0444779195334055
Basque,Divehi,1.31607023987512
Basque,Catalan,2.267581359383339
Basque,Walloon,2.095694992371976
Basque,Yiddish,2.3935200133030934
Basque,Maltese,1.7983354073860367
Basque,Romansh,2.4277592081821484
Basque,Bavarian,1.889951422128056
Basque,Faroese,1.7126016702728055
Basque,Ripuarian,2.732890037776872
Basque,Luxembourgish,1.7533814062229012
Basque,Limburgish,2.84046024805729
Basque,Scots,1.7124083200297346
Basque,Zeelandic,2.775137243183426
Basque,Aragonese,2.4282692733554154
Basque,Asturian,2.053506390505889
Basque,Emilian-Romagnol,2.992184864298396
Basque,Extremaduran,2.365496143970493
Basque,Franco-Provençal,2.124640092044904
Basque,Friulian,2.310602724002381
Basque,Ladino,2.453011783251195
Basque,Lombard,2.6732411771627573
Basque,Mirandese,2.132286061798205
Basque,Neapolitan,2.597807204746528
Basque,Occitan,2.4003250721398492
Basque,Picard,1.410973023311672
Basque,Sardinian,2.338806096766898
Basque,Sicilian,2.153306153739311
Basque,Venetian,2.871595775209078
Basque,Czech,1.862914772040646
Basque,Rusyn,1.7439839862709947
Basque,Slovenian,1.8092384546783937
Basque,Uzbek,1.12491323500451
Basque,Amharic,1.8820458167018144
Basque,Zazaki,1.230320880251862
Basque,Gilaki,1.6381167731646529
Basque,Mazandarani,1.1068974749386062
Basque,Ossetian,1.0499727194639745
Basque,Pashto,1.50972020929242
Basque,Komi,0.9126315955004753
Basque,Vepsian,1.3927616147668167
Basque,Erzya,0.8017281251050585
Basque,Konkani,1.057530548571485
Basque,Odia,1.2263967668759728
Basque,Maithili,1.158048089642509
Basque,Sanskrit,0.8336537175002805
Basque,Sindhi,1.4092443880838115
Basque,Sinhalese,0.931858515736772
Basque,Esperanto,2.4359335975787126
Basque,Ido,2.9973801507322646
Basque,Lithuanian,1.2616132514840368
Basque,Latvian,1.5478581388804247
Basque,Kannada,2.0060602521331794
Basque,Malayalam,0.8625875339826665
Basque,Breton,2.0646281842398038
Basque,Irish,1.9247342160037206
Basque,Manx,2.5573998773441495
Basque,Burmese,1.5631175624240985
Basque,Mingrelian,1.619460026021799
Basque,Lao,0.9035915648126558
Basque,Thai,1.8825464730469168
Basque,Lezgian,0.8168264630576685
Basque,Malagasy,2.421033316809219
Basque,Papiamentu,2.0962977256753192
Basque,Albanian,2.143029321485774
Basque,Luganda,1.240754506793445
Basque,Swahili,1.8584582688488638
Basque,Tswana,1.8903452251443076
Basque,Tsonga,1.2857991536096232
Basque,Buryat,0.8326882891479288
Basque,Samoan,2.4309651544429443
Basque,Tongan,2.1282263222308253
Basque,Nahuatl,1.793597057346017
Basque,Somali,1.6360510425775074
Basque,Aymara,1.5026023202285765
Basque,Guarani,1.7312624305214515
Basque,Kabyle,1.8245538953869804
Basque,Hausa,1.8068618414875672
Basque,Tetum,1.8141763678555503
Basque,Tulu,1.0714923892606913
Basque,Kabiye,0.453394301730496
Basque,Maori,2.971825767962213
Basque,Nepali,1.3102061586030493
Basque,Mongolian,0.4889019944633284
Basque,Hindi,0.686310739213007
Basque,Danish,2.1912817763496677
Basque,Hebrew,1.4200574003537567
Basque,Indonesian,1.3847365457046883
Basque,Serbian,1.6870261318278272
Basque,Ukrainian,1.4012669670731976
Basque,Russian,1.4190698108109578
Basque,German,2.2219092325136454
Basque,Japanese,1.196765752928533
Basque,Arabic,2.2427872704188165
Alemannic,Basque,2.060926506841034
Alemannic,Alemannic,0
Alemannic,Wolof,1.1379323531742567
Alemannic,Bosnian,0.8744897219917735
Alemannic,Urdu,2.425692176131484
Alemannic,Afrikaans,0.36366579598270565
Alemannic,Anglo-Saxon,1.040461598763343
Alemannic,Slovak,1.1344768117541117
Alemannic,Silesian,2.1324621719576835
Alemannic,Acehnese,2.4486868909843613
Alemannic,Wu,1.6188391318594038
Alemannic,Bashkir,2.0763506838922545
Alemannic,Chuvash,1.692375925208157
Alemannic,Gagauz,1.2077926272355897
Alemannic,Karachay-Balkar,1.1751593951722268
Alemannic,Sakha,0.966854847272566
Alemannic,Tamil,1.1495084946321348
Alemannic,Telugu,1.9702308495635017
Alemannic,Georgian,1.1732921479342293
Alemannic,Tatar,1.6101153912014254
Alemannic,Uyghur,1.1071716769953772
Alemannic,Icelandic,1.4361065236915946
Alemannic,Belarusian,1.0220565454135393
Alemannic,Gujarati,3.341233633847943
Alemannic,Marathi,3.3700384843405193
Alemannic,Estonian,0.4875432355822755
Alemannic,Finnish,1.0257466983663353
Alemannic,Hungarian,0.9768968513947995
Alemannic,Bulgarian,1.0341859372289526
Alemannic,Yoruba,1.181117979705872
Alemannic,Quechua,1.7646816540146997
Alemannic,Croatian,0.9270412640831021
Alemannic,Macedonian,1.0856070565673583
Alemannic,Serbo-Croatian,1.6368914334520066
Alemannic,Pangasinan,2.474887522833251
Alemannic,Kapampangan,1.166377419756146
Alemannic,Khmer,1.4853920102192975
Alemannic,Javanese,1.1662536426764851
Alemannic,Malay,1.1946589942363515
Alemannic,Sundanese,1.253204729524119
Alemannic,Hakka,1.7566890584488535
