length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
9,6,455,5.692004518482931,5.5138023749915845,5.690109803035875,5.857549336935492,Chinese,Parent,Unigram
9,7,455,5.907670651372254,5.71600997895263,5.913814740967118,6.1027534734782805,Chinese,Parent,Unigram
9,8,455,5.587009932274635,5.4001316659497816,5.584466666328552,5.767968823578063,Chinese,Parent,Unigram
9,9,455,5.094130415823014,4.942798987507446,5.09643719571697,5.264126692737784,Chinese,Parent,Unigram
5,1,1249,5.491589666274736,5.381556956256145,5.4916523875509435,5.599540002064972,Chinese,Parent,Unigram
5,2,1249,5.399701071716389,5.298437849278669,5.397375473706765,5.496837093115806,Chinese,Parent,Unigram
5,3,1249,5.558716314431746,5.452731629199145,5.555715800126088,5.655162378986985,Chinese,Parent,Unigram
5,4,1249,5.6562478631540944,5.538516907694229,5.658351791815414,5.772899618944235,Chinese,Parent,Unigram
5,5,1249,5.112061225410851,5.01434055588787,5.1111206989787386,5.217456044548327,Chinese,Parent,Unigram
7,1,821,5.541146022722565,5.4198748119155535,5.5424337970809345,5.675261681978065,Chinese,Parent,Unigram
7,2,821,5.56058198934965,5.429675830812949,5.560470637642744,5.684289707676349,Chinese,Parent,Unigram
7,3,821,5.679815844193307,5.544412374718997,5.680692561472901,5.818810276922124,Chinese,Parent,Unigram
7,4,821,5.585877957604861,5.451302664240276,5.588586625914715,5.718616970119535,Chinese,Parent,Unigram
7,5,821,5.7094083130181,5.578056171561399,5.709634173697208,5.840893312002762,Chinese,Parent,Unigram
7,6,821,5.6840727487404035,5.551358352593882,5.684739125412333,5.825134871559423,Chinese,Parent,Unigram
7,7,821,5.162451095820032,5.03668028868866,5.163904857453343,5.292353784710418,Chinese,Parent,Unigram
5,1,1891,6.836167874090121,6.735796046395811,6.8363540284772855,6.933833328343322,Japanese,Child,Unigram
5,2,1891,6.298291545410328,6.194230240577444,6.29683274182949,6.396220921015904,Japanese,Child,Unigram
5,3,1891,6.679634705614441,6.573738935617859,6.680199306657881,6.776734975790565,Japanese,Child,Unigram
5,4,1891,6.653118811989729,6.558449933877763,6.654720335540153,6.754988099155238,Japanese,Child,Unigram
5,5,1891,5.495795361910828,5.3966188605027785,5.496443589811742,5.583607259667929,Japanese,Child,Unigram
7,1,561,6.763197707673886,6.592219098691898,6.762888343932538,6.940714188881548,Japanese,Child,Unigram
7,2,561,6.029233765406568,5.83628183171434,6.028633794206639,6.212531338319699,Japanese,Child,Unigram
7,3,561,6.7351836273054095,6.565817609077101,6.7342334112923545,6.929047410276509,Japanese,Child,Unigram
7,4,561,6.442159526958497,6.257097872592286,6.443410645874284,6.6293708694009075,Japanese,Child,Unigram
7,5,561,6.626181270036749,6.448805263039786,6.624098350052836,6.801126611865154,Japanese,Child,Unigram
7,6,561,6.514936648082673,6.342925406908172,6.514411948252547,6.690124207340503,Japanese,Child,Unigram
7,7,561,5.407780617798739,5.241014857678235,5.406418515519907,5.577212321802534,Japanese,Child,Unigram
9,1,140,6.877067807226562,6.534469769983051,6.876165528163182,7.20851165666271,Japanese,Child,Unigram
9,2,140,6.325720596382609,5.980787504804036,6.327235119370045,6.674261061438841,Japanese,Child,Unigram
9,3,140,6.178874678271336,5.839142650818709,6.172401608483036,6.536645162783632,Japanese,Child,Unigram
9,4,140,6.358071587539001,5.990793802553826,6.3447793583708165,6.689669550318594,Japanese,Child,Unigram
9,5,140,6.327238596915689,5.9417737701763995,6.33010528445208,6.710031543114367,Japanese,Child,Unigram
9,6,140,6.527473398437513,6.140020645305789,6.5345760781578965,6.922474085396683,Japanese,Child,Unigram
9,7,140,6.259875978884081,5.908374952629252,6.266467281832282,6.618531960278409,Japanese,Child,Unigram
9,8,140,6.418869086607612,6.05867450779539,6.429724308442669,6.804326414795604,Japanese,Child,Unigram
9,9,140,5.3047439254693955,4.98726397607722,5.307240318188565,5.644555372968912,Japanese,Child,Unigram
5,1,4719,7.491366961063341,7.439176773243314,7.491348323383513,7.547923808586808,Japanese,Parent,Unigram
5,2,4719,6.24758847546029,6.183983035914834,6.247648577181293,6.314402395668305,Japanese,Parent,Unigram
5,3,4719,6.758023501184735,6.689636291764137,6.757630956707872,6.822719904033172,Japanese,Parent,Unigram
5,4,4719,6.582213138701935,6.516406657541349,6.582289443602645,6.647028140003372,Japanese,Parent,Unigram
5,5,4719,5.181390523082696,5.123070059796516,5.181640131280403,5.244597396369044,Japanese,Parent,Unigram
7,1,2034,7.491085108203749,7.41105909098464,7.489754453975017,7.568932414991591,Japanese,Parent,Unigram
7,2,2034,6.000975046441166,5.902114078963838,6.003274548006976,6.098201074717624,Japanese,Parent,Unigram
7,3,2034,6.807712586082179,6.702469506419763,6.80883533056214,6.917063403917576,Japanese,Parent,Unigram
7,4,2034,6.428838074242413,6.326676831585895,6.428139579670934,6.524805426835895,Japanese,Parent,Unigram
7,5,2034,6.60045352370277,6.498569265364663,6.600335128084141,6.705695275930566,Japanese,Parent,Unigram
7,6,2034,6.462337335438073,6.362066979398528,6.4603910231445845,6.565872433382894,Japanese,Parent,Unigram
7,7,2034,4.9519990304376265,4.870663083028545,4.951195074269422,5.03769993276199,Japanese,Parent,Unigram
9,1,739,7.521903567675641,7.391453692502612,7.518024756361013,7.654229385962272,Japanese,Parent,Unigram
9,2,739,6.069215566464557,5.889055710454401,6.074185140705641,6.25292328792971,Japanese,Parent,Unigram
9,3,739,6.784924591003728,6.600446675258068,6.785703105170563,6.9613554296206415,Japanese,Parent,Unigram
9,4,739,6.401301082425978,6.228658928963845,6.399383884853163,6.57375743308592,Japanese,Parent,Unigram
9,5,739,6.439398247616025,6.284051292119039,6.439569650200868,6.593711629951832,Japanese,Parent,Unigram
9,6,739,6.45068393000941,6.269633307134224,6.451719451459374,6.627659629135429,Japanese,Parent,Unigram
9,7,739,6.648299900537863,6.4672764331811115,6.646420067888326,6.820139705807678,Japanese,Parent,Unigram
9,8,739,6.422588721371706,6.256804510597253,6.425450404153521,6.588288169211647,Japanese,Parent,Unigram
9,9,739,4.944094536822309,4.813364878131455,4.94581308420732,5.083042928420681,Japanese,Parent,Unigram
9,1,976,4.137300733751359,4.04130181534107,4.138630561528416,4.238937492304591,Spanish,Child,Unigram
9,2,976,5.23815609350161,5.12798866153802,5.239320437195764,5.356318825012044,Spanish,Child,Unigram
9,3,976,5.916225556723673,5.776543674362602,5.913246191862048,6.058051076125298,Spanish,Child,Unigram
9,4,976,5.781078755541406,5.6390693282932425,5.778976424486771,5.932682821614411,Spanish,Child,Unigram
9,5,976,5.968053491414222,5.817258992278064,5.966685298052517,6.100114383705313,Spanish,Child,Unigram
9,6,976,6.1077648738139025,5.948916486881246,6.104393880899401,6.263920314203965,Spanish,Child,Unigram
9,7,976,6.066581177666224,5.916429667709611,6.064440600971593,6.218132821256003,Spanish,Child,Unigram
9,8,976,5.4149620377594845,5.2845611548913185,5.415350806357495,5.552581913747838,Spanish,Child,Unigram
9,9,976,8.312576051910872,8.194015283546598,8.314670650706855,8.446621295304853,Spanish,Child,Unigram
5,1,2201,4.33429228356158,4.263030038671724,4.333535882019072,4.405806373169145,Spanish,Child,Unigram
5,2,2201,5.654256036776902,5.56665763393308,5.654459113737925,5.741998140225806,Spanish,Child,Unigram
5,3,2201,6.253302466629827,6.149627812411257,6.251851928213089,6.358974661655985,Spanish,Child,Unigram
5,4,2201,5.7270168130074834,5.633721779668826,5.726268025186383,5.823367920111985,Spanish,Child,Unigram
5,5,2201,8.239662857348655,8.163621908136818,8.240994373183117,8.323923671951373,Spanish,Child,Unigram
7,1,1531,4.163482130864487,4.0875721421436895,4.164760347800081,4.244028483590747,Spanish,Child,Unigram
7,2,1531,5.270865677404397,5.177494392504349,5.267322193526932,5.360025505329738,Spanish,Child,Unigram
7,3,1531,5.921511423310771,5.810765256742213,5.920294233603936,6.029049713795535,Spanish,Child,Unigram
7,4,1531,6.026700392763331,5.912479846150575,6.025766505271525,6.145034119454726,Spanish,Child,Unigram
7,5,1531,6.146829173803895,6.021228525922644,6.147533511595841,6.2790762818591395,Spanish,Child,Unigram
7,6,1531,5.534971925051577,5.4282424414838735,5.533222734249854,5.643408493154637,Spanish,Child,Unigram
7,7,1531,8.272320722413964,8.165421539179967,8.27358262880569,8.3738686365294015,Spanish,Child,Unigram
5,1,1691,4.838479552663626,4.755511226363177,4.838398031593732,4.927107649543582,Spanish,Parent,Unigram
5,2,1691,5.277673717051061,5.185114311620109,5.2766739149787485,5.362343202738284,Spanish,Parent,Unigram
5,3,1691,5.631915377439087,5.541484716955205,5.630308491320329,5.717907744585939,Spanish,Parent,Unigram
5,4,1691,5.560253626074349,5.46876628787252,5.558813573871458,5.645915251445091,Spanish,Parent,Unigram
5,5,1691,7.099821536587819,7.008401387960241,7.100925193991349,7.188443209453919,Spanish,Parent,Unigram
7,1,1002,4.845402286599405,4.741302771843575,4.84538647285069,4.949189527810021,Spanish,Parent,Unigram
7,2,1002,5.333150634505119,5.215661563018225,5.331908023158526,5.464216993618887,Spanish,Parent,Unigram
7,3,1002,5.502385332286387,5.384976733053881,5.5034947575768705,5.623965714165486,Spanish,Parent,Unigram
7,4,1002,5.904215394558453,5.772097567442276,5.905578185865113,6.043608772288456,Spanish,Parent,Unigram
7,5,1002,5.701171854495276,5.576138683061638,5.7025770207560935,5.826158850723043,Spanish,Parent,Unigram
7,6,1002,5.5739725827754985,5.455181536119644,5.575728767548848,5.687811660473383,Spanish,Parent,Unigram
7,7,1002,7.051711878312871,6.929291299827299,7.053338251794717,7.172999528543909,Spanish,Parent,Unigram
9,1,604,4.616012774949121,4.493313687742857,4.6169446817511535,4.744775715169133,Spanish,Parent,Unigram
9,2,604,5.051135996188238,4.9039263977544305,5.053938891057437,5.208280123939267,Spanish,Parent,Unigram
9,3,604,5.466302002449724,5.32414163058825,5.468725777780091,5.6170382131965315,Spanish,Parent,Unigram
9,4,604,5.730563789182186,5.568317756083171,5.7257717907758945,5.885075875604855,Spanish,Parent,Unigram
9,5,604,5.71391550397921,5.560398808164068,5.712704363296584,5.879144726549975,Spanish,Parent,Unigram
