length,position,mean,sem,gram
15,1,2.8251735402649407,0.0030962775974379,unigram
15,2,3.29120503315022,0.003104782826769097,unigram
15,3,3.1897831237283913,0.0030370778663756236,unigram
15,4,3.2045321684177117,0.0031653202472908346,unigram
15,5,3.2127983524138912,0.003233656314603054,unigram
15,6,3.2023783294976447,0.0032562174588715888,unigram
15,7,3.2076616625885412,0.0032622028907906965,unigram
15,8,3.2009724641487605,0.003261561286007138,unigram
15,9,3.1932749956361306,0.003252353482153988,unigram
15,10,3.177937654217339,0.003251080972778027,unigram
15,11,3.196090028170568,0.0032521962961955236,unigram
15,12,3.2202817666439256,0.0032428785408741517,unigram
15,13,3.0852685744675674,0.0032643922879697015,unigram
15,14,3.146552928903219,0.003366962182032106,unigram
15,15,4.193679477939205,0.002652558741909353,unigram
30,1,2.7935554003097733,0.004699096635783611,unigram
30,2,3.3225080497792865,0.0048418992261633756,unigram
30,3,3.250481597346275,0.004661669551414029,unigram
30,4,3.2181153826759252,0.004820684969398639,unigram
30,5,3.2297294570537973,0.004911877252099922,unigram
30,6,3.2371740769580257,0.004953767191353103,unigram
30,7,3.2428948758428415,0.004948237331224941,unigram
30,8,3.2404587318369558,0.004976868452228565,unigram
30,9,3.2487497835897567,0.004958982733373964,unigram
30,10,3.244888778638546,0.004978794144375862,unigram
30,11,3.236759403253911,0.004972401857993614,unigram
30,12,3.236128652291032,0.004945479446984971,unigram
30,13,3.2352802391695494,0.00495008978882698,unigram
30,14,3.22711056266973,0.004950023179206632,unigram
30,15,3.222466068596727,0.004942922610352914,unigram
30,16,3.224903582621715,0.0049444625429729445,unigram
30,17,3.2242196915302803,0.004951692653326334,unigram
30,18,3.2202121205069956,0.0049343020970942526,unigram
30,19,3.2154351822061025,0.004931336743598037,unigram
30,20,3.218927551849605,0.004947425853954659,unigram
30,21,3.21218420782694,0.0049271154185562245,unigram
30,22,3.2120902966325056,0.00492116026291657,unigram
30,23,3.214776981056069,0.004945717153604087,unigram
30,24,3.2145862610447105,0.004933405675575741,unigram
30,25,3.1790623935231554,0.004928717543449222,unigram
30,26,3.2135048086736537,0.004942111545566111,unigram
30,27,3.2533557558301927,0.00493917929673339,unigram
30,28,3.0824480420452787,0.004973156869658087,unigram
30,29,3.2005815697028757,0.005078116075264934,unigram
30,30,4.275735531533636,0.0037387942294982443,unigram
45,1,2.7615424635354575,0.009200474803522636,unigram
45,2,3.268005561623844,0.009667916394894291,unigram
45,3,3.2234878636947584,0.009290592599345943,unigram
45,4,3.192385670945529,0.009644191818205248,unigram
45,5,3.2235184308787255,0.009937321274523079,unigram
45,6,3.221136998540596,0.009871787344196593,unigram
45,7,3.227252538679342,0.00993579686357443,unigram
45,8,3.234306771937307,0.009977329799114174,unigram
45,9,3.2314653557297017,0.009913221650785436,unigram
45,10,3.236495156839671,0.009970377885171047,unigram
45,11,3.232902737929085,0.009998658584072501,unigram
45,12,3.2309406742600206,0.009967689691783166,unigram
45,13,3.2282957805344297,0.010003877665741949,unigram
45,14,3.222298114110997,0.009889111854949135,unigram
45,15,3.230147196233299,0.010021102831542901,unigram
45,16,3.221670670113052,0.009956449377165905,unigram
45,17,3.233065389737924,0.00992393929579538,unigram
45,18,3.2320181612641314,0.010007673923991222,unigram
45,19,3.222530568843782,0.00997686569823203,unigram
45,20,3.2230182365107916,0.009957643312632025,unigram
45,21,3.2271779700308323,0.00997645053361318,unigram
45,22,3.224639039095581,0.009929620562456014,unigram
45,23,3.212044052569373,0.009937160157719028,unigram
45,24,3.218184777122302,0.009965885922794725,unigram
45,25,3.2297267332887976,0.009986192439111934,unigram
45,26,3.2137694576875644,0.009931642714302804,unigram
45,27,3.212361534409044,0.009931252147831594,unigram
45,28,3.2243138903494346,0.009936422716828238,unigram
45,29,3.1949629822559094,0.009883531903184584,unigram
45,30,3.229419890447071,0.009883676657696098,unigram
45,31,3.21353291303186,0.009872473635688918,unigram
45,32,3.199365109213772,0.009928798432401808,unigram
45,33,3.203229609167523,0.009945415282778572,unigram
45,34,3.203001888967112,0.009941843752826338,unigram
45,35,3.206327115585817,0.009924695151921063,unigram
45,36,3.2013074712846867,0.009932484915711618,unigram
45,37,3.2118471275642344,0.009876462631933336,unigram
45,38,3.2046022399640286,0.009920887858391476,unigram
45,39,3.191416625950668,0.00987519330936611,unigram
45,40,3.1867608309660844,0.009811798563212267,unigram
45,41,3.214661033057554,0.009937069366307007,unigram
45,42,3.269487281438849,0.009904196761497031,unigram
45,43,3.077756308859198,0.00995391956498567,unigram
45,44,3.229436837487153,0.010359877473148628,unigram
45,45,4.28469242594039,0.007583608179162837,unigram
15,1,2.5168150683467307,0.003333864807630236,trigram
15,2,2.1992251608687514,0.003114278399775732,trigram
15,3,1.7264998417640758,0.0026498207843233474,trigram
15,4,1.6922221476655224,0.0026384879142235694,trigram
15,5,1.750371453723385,0.00270456437098719,trigram
15,6,1.7584242187289674,0.002707057557869293,trigram
15,7,1.7702140966955953,0.002708339642905838,trigram
15,8,1.769720851862313,0.0026949820191345354,trigram
15,9,1.771432965850674,0.0026926310385851334,trigram
15,10,1.7649634899695408,0.0026916358185838955,trigram
15,11,1.7762098412177503,0.0027020691231110653,trigram
15,12,1.7803612733480465,0.0027095379169864123,trigram
15,13,1.7132907158249306,0.0027133472388761798,trigram
15,14,1.767667649593747,0.0028675000897329978,trigram
15,15,2.057454326296985,0.002771550575861019,trigram
30,1,2.513828524272156,0.004960016140804552,trigram
30,2,2.2510454020857646,0.0047944245619684234,trigram
30,3,1.7612960786158203,0.00405222543563554,trigram
