language1,language2,wals_dist
Afrikaans,Estonian,55
Afrikaans,Extremaduran,54
Afrikaans,Faroese,56
Afrikaans,Finnish,58
Afrikaans,Franco-Provençal,54
Afrikaans,French,48
Afrikaans,Friulian,63
Afrikaans,Gagauz,46
Afrikaans,Galician,53
Afrikaans,Georgian,49
Afrikaans,German,53
Afrikaans,Gilaki,53
Afrikaans,Greek,52
Afrikaans,Guarani,63
Afrikaans,Gujarati,63
Afrikaans,Hakka,53
Afrikaans,Hausa,52
Afrikaans,Hebrew,62
Afrikaans,Hindi,60
Afrikaans,Hungarian,57
Afrikaans,Icelandic,61
Afrikaans,Ido,60
Afrikaans,Indonesian,54
Afrikaans,Interlingua,47
Afrikaans,Interlingue,52
Afrikaans,Irish,49
Afrikaans,Japanese,52
Afrikaans,Javanese,55
Afrikaans,Kabiye,60
Afrikaans,Kabyle,55
Afrikaans,Kannada,61
Afrikaans,Kapampangan,53
Afrikaans,Karachay-Balkar,53
Afrikaans,Kazakh,53
Afrikaans,Khmer,54
Afrikaans,Kirghiz,57
Afrikaans,Komi,48
Afrikaans,Konkani,52
Afrikaans,Korean,54
Afrikaans,Ladino,54
Afrikaans,Lao,52
Afrikaans,Latin,50
Afrikaans,Latvian,56
Afrikaans,Lezgian,49
Afrikaans,Limburgish,54
Afrikaans,Lithuanian,58
Afrikaans,Lombard,57
Afrikaans,Luganda,49
Afrikaans,Luxembourgish,54
Afrikaans,Macedonian,56
Afrikaans,Maithili,53
Afrikaans,Malagasy,52
Afrikaans,Malay,52
Afrikaans,Malayalam,54
Afrikaans,Maltese,54
Afrikaans,Manx,52
Afrikaans,Maori,53
Afrikaans,Marathi,61
Afrikaans,Mazandarani,57
Afrikaans,Mingrelian,53
Afrikaans,Mirandese,50
Afrikaans,Mongolian,62
Afrikaans,Nahuatl,55
Afrikaans,Neapolitan,60
Afrikaans,Nepali,48
Afrikaans,Norman,56
Afrikaans,Occitan,50
Afrikaans,Odia,56
Afrikaans,Ossetian,51
Afrikaans,Pangasinan,50
Afrikaans,Papiamentu,56
Afrikaans,Pashto,56
Afrikaans,Persian,49
Afrikaans,Picard,45
Afrikaans,Polish,56
Afrikaans,Quechua,55
Afrikaans,Ripuarian,59
Afrikaans,Romanian,65
Afrikaans,Romansh,59
Afrikaans,Russian,59
Afrikaans,Rusyn,58
Afrikaans,Sakha,53
Afrikaans,Samoan,46
Afrikaans,Sanskrit,59
Afrikaans,Sardinian,53
Afrikaans,Scots,50
Afrikaans,Serbian,54
Afrikaans,Serbo-Croatian,53
