language1,language2,cosine,gram
Alemannic,Malayalam,0.10880964846010563,unigram
Alemannic,Breton,0.6020757657890505,unigram
Alemannic,Irish,0.7919970127684814,unigram
Alemannic,Manx,0.7582864120622361,unigram
Alemannic,Burmese,-0.5198232777984839,unigram
Alemannic,Mingrelian,0.47036218171648514,unigram
Alemannic,Lao,0.015657283804425732,unigram
Alemannic,Thai,-0.9064758010564776,unigram
Alemannic,Lezgian,-0.29791542110645614,unigram
Alemannic,Malagasy,0.06852912229706805,unigram
Alemannic,Papiamentu,0.6840564687079844,unigram
Alemannic,Albanian,0.4883663949817981,unigram
Alemannic,Luganda,0.49019868882958334,unigram
Alemannic,Swahili,0.31603136854046737,unigram
Alemannic,Tswana,0.6289399608106593,unigram
Alemannic,Tsonga,0.5126695635439235,unigram
Alemannic,Buryat,-0.4641762456334091,unigram
Alemannic,Samoan,0.7068602432738265,unigram
Alemannic,Tongan,0.7455503966112499,unigram
Alemannic,Nahuatl,0.5791774538593908,unigram
Alemannic,Somali,0.391885805757068,unigram
Alemannic,Aymara,0.20099901200798723,unigram
Alemannic,Guarani,0.2970141940190856,unigram
Alemannic,Kabyle,0.3081337997717223,unigram
Alemannic,Hausa,0.38828011304653504,unigram
Alemannic,Tetum,0.4787713235833332,unigram
Alemannic,Tulu,0.046150338033759807,unigram
Alemannic,Maori,0.6239234871711845,unigram
Alemannic,Nepali,-0.2667252257055871,unigram
Alemannic,Mongolian,-0.4273876285840076,unigram
Alemannic,Hindi,-0.6124493770309735,unigram
Alemannic,Danish,0.6932213915359445,unigram
Alemannic,Hebrew,0.7711277607371062,unigram
Alemannic,Indonesian,0.6552938280305692,unigram
Alemannic,Serbian,0.6895493406358784,unigram
Alemannic,Ukrainian,0.5494117768248182,unigram
Alemannic,Russian,0.7410713337322717,unigram
Alemannic,German,0.8798990951542844,unigram
Alemannic,Japanese,-0.6707046593097628,unigram
Alemannic,Arabic,0.4717875478729072,unigram
Wolof,Alemannic,0.5937191730379682,unigram
Wolof,Wolof,1,unigram
Wolof,Bosnian,0.8306206244457818,unigram
Wolof,Urdu,0.6135683567523702,unigram
Wolof,Afrikaans,0.6791681505474018,unigram
Wolof,Anglo-Saxon,0.7285226315359394,unigram
Wolof,Silesian,0.4782358355338342,unigram
Wolof,Acehnese,0.4928549903265305,unigram
Wolof,Wu,0.6002177510044715,unigram
Wolof,Chuvash,0.2793597338658451,unigram
Wolof,Gagauz,0.569675178432444,unigram
Wolof,Karachay-Balkar,0.7690065511713005,unigram
Wolof,Sakha,0.8294519575207534,unigram
Wolof,Basque,0.49778138972073843,unigram
Wolof,Slovak,0.872893376586544,unigram
Wolof,Bashkir,0.6334126998650383,unigram
Wolof,Tamil,0.798931548588102,unigram
Wolof,Telugu,-0.02139035355707148,unigram
Wolof,Georgian,0.8996793279291595,unigram
Wolof,Tatar,0.6528079512432423,unigram
Wolof,Uyghur,0.2833338340761088,unigram
Wolof,Icelandic,0.8430333368115458,unigram
Wolof,Belarusian,0.7641031351409899,unigram
Wolof,Gujarati,-0.5778807932215265,unigram
Wolof,Marathi,-0.504157994042349,unigram
Wolof,Estonian,0.9114077014236063,unigram
Wolof,Finnish,0.9182869251975759,unigram
Wolof,Hungarian,0.3232867904581,unigram
Wolof,Bulgarian,0.8895475253761577,unigram
Wolof,Yoruba,0.8685323884754389,unigram
Wolof,Quechua,0.7414463349406615,unigram
