language,gram,slope1,slope2,slope3,slope4,slope5
Acehnese,Unigram,-0.005186144,0.022888212,-0.072799137,-0.027606977,0.015054727
Acehnese,Trigram,-1.314661111770965,0.3359312839946916,0.24676113038580905,0.4054461698326363,0.15357743313004446
Afrikaans,Unigram,0.065868319,-0.001033014,-0.013796086,-0.020571669,0.131093675
Afrikaans,Trigram,-1.1805286385212337,0.09709184298781276,-0.03780283145841324,-0.1159445316637056,-0.10275500802082016
Albanian,Unigram,-0.040655385,-0.005603841,0.00471427,-0.032828627,0.171099494
Albanian,Trigram,-1.08491382564003,0.031462900110886476,-0.03509221161882343,-0.058898498326934404,0.03826455246229738
Alemannic,Unigram,0.102913956,0.006254178,-0.002080554,-0.008048153,0.169867226
Alemannic,Trigram,-0.8533688487478294,0.1488467133523321,-0.0015839932901702115,-0.06555102231756478,0.0881325454142598
Amharic,Unigram,-0.012837353,0.005399489,-0.024081967,-0.080192661,-0.194017645
Amharic,Trigram,0.1298314017922174,-0.15451584576317012,0.138858653362848,0.056094054835622464,-0.2652589152179599
Anglo-Saxon,Unigram,0.007235254,0.003578205,0.009714788,-0.016450765,0.126518429
Anglo-Saxon,Trigram,-0.7140836795525399,-0.004333080312634825,-0.06665345711719302,-0.08350911873642358,0.007230782171366404
Arabic,Trigram,0.5615850973977415,-0.10713746938517345,-0.06180952092735166,0.006575485859893548,-0.33777524425814165
Aragonese,Unigram,0.037925968,-0.022865456,-0.008413262,0.003556379,0.186157341
Aragonese,Trigram,-1.0393418514176214,0.12198244412543775,0.013929647806880552,-0.08979291209709797,0.27210662048929035
Armenian,Unigram,-0.033262325,-0.024147751,-0.003798182,0.002142612,-0.026317751
Armenian,Trigram,-0.042109547317998874,-0.15321826156832474,-0.05769846771447474,0.10923215929598591,-0.3197660452884549
Assamese,Unigram,0.007133026,-0.002017408,0.002042083,-0.0077610760000000004,0.041346922
Assamese,Trigram,-0.6212673366884921,-0.05319440217139244,0.0068511451465784546,0.008175806489014725,0.18911391095098806
Asturian,Unigram,0.061553957,-0.007427315,-0.010265623,-0.007296108,0.172127841
Asturian,Trigram,-1.1226819032226096,0.033645304361011166,-0.035004141065956146,-0.10293500801109691,0.011879253580699925
Aymara,Unigram,-0.024381528,-0.025902532,0.001796661,-0.035261337,0.051141219
Aymara,Trigram,-0.4163016928930195,-0.039330470383237295,0.05511068600891882,0.3080323707589601,-0.5142078513718946
Azerbaijani,Unigram,0.00849069,-0.002409618,-0.002894012,-0.009191519,0.024881247
Azerbaijani,Trigram,-0.8546327053782969,-0.011130354690624488,-0.10645196560339469,-0.2611650966143748,-1.156211322033352
Bashkir,Unigram,0.024920159,-0.001117762,-0.001941257,-0.00649427,-0.026612721
Bashkir,Trigram,-0.7976463128439606,0.01578421230705478,-0.01095742588350781,-0.3332996009032132,-0.8509571051034884
Basque,Unigram,-0.01067447,-0.009832448,0.01156583,-0.051887957,-0.092804668
Basque,Trigram,-0.5119711027797736,-0.11443837060251852,0.05791431788371581,-0.3375758412031191,-0.9599680671817169
Bavarian,Unigram,0.042355828,0.011590417,-0.009173939,-0.03080931,0.124845838
Bavarian,Trigram,-0.6227385430283613,0.05165157868015314,0.03061043570013621,0.011557556556870794,0.12556904161488808
Belarusian,Unigram,0.051611441,0.006753877,-7.88e-4,-0.001752088,0.086293218
Belarusian,Trigram,-0.9807713607285053,0.1314664581535138,-0.01642108096542739,-0.10363953184504612,-0.17735450399479108
Bengali,Unigram,-0.003133545,0.005092838,0.011110871,-0.016907938,0.076904782
Bengali,Trigram,-0.035201241445614914,-0.05365526047192027,0.07030702052775976,0.044830006957787244,0.11705884542747007
Bhojpuri,Unigram,-0.097654351,0.009850129,-0.00761629,-0.023792096,0.068013842
Bhojpuri,Trigram,-0.5913644076170689,0.03683056940475929,0.04212716580039457,0.006998940363184025,0.3013806264615296
Bosnian,Unigram,0.027668324,0.002273505,-0.00874829,-0.010547556,0.15268023
Bosnian,Trigram,-0.7362248685820453,-0.02669050103833519,-0.08309948611170684,-0.034691814886462835,-0.032322715080370164
Breton,Unigram,0.033841929,-0.001592552,-0.024033446,-0.033410637,0.142926275
Breton,Trigram,-0.9773291750066626,0.07605632453004862,-0.0015039735137824485,-0.022632608190961065,0.1142547171325629
Bulgarian,Unigram,0.005303323,0.011957942,-0.010883277,-0.023297104,0.107424482
Bulgarian,Trigram,-1.0091818648935729,0.08927171673146019,-0.03220177964415543,-0.1732100241660308,-0.412525146018809
Burmese,Unigram,0.045081971,4.57e-4,-0.010854794,-0.016734676,0.023958118
Burmese,Trigram,-0.39725502745269464,0.013527657126853294,-0.02746969598864171,0.22730716387299046,-0.19278530803725008
Buryat,Unigram,0.036620436,-0.01449019,0.005165187,-0.012703886,-0.091211451
Buryat,Trigram,-0.6399372599279345,0.010286240826153271,-0.04449512128059727,-0.22235685603116523,-0.9530522296423746
Catalan,Unigram,0.066052618,-0.011298721,-0.004923766,-0.014303759,0.194424199
Catalan,Trigram,-1.221110558568239,0.07340623991844827,-0.0024966454222629087,-0.075499479907945,0.031586733858633295
Chinese,Trigram,-0.3426739325145166,-0.09395686440439041,-0.028751575760893534,0.012830327422942791,-0.020792715138347063
Chuvash,Unigram,0.043032813,-0.006273918,-0.004455389,-0.007301915,-0.051023004
Chuvash,Trigram,-0.7066995906710242,0.05998271703223758,-0.14757074478571958,0.0290915003592567,-0.7169597865119333
Corsican,Unigram,0.049822831,-0.003155661,-0.003765029,-0.009974202,0.144994958
Corsican,Trigram,-1.0131541410060478,-0.019450495874731882,-0.008300390154719955,-0.09271975622649259,-0.1664355941270724
Croatian,Unigram,0.047191907,-0.001640014,-0.004157942,-0.015944409,0.163404925
Croatian,Trigram,-0.792355471532039,0.02979472715662876,-0.07268179347801759,-0.040171699788031305,-0.1579657498639631
Czech,Unigram,0.045820085,0.009888219,-0.004726169,-0.012322458,0.133363318
Czech,Trigram,-1.0118356833754003,0.18450075879640687,-0.04235043045517045,-0.11642680605235146,-0.0998258875860686
Danish,Unigram,0.021204703,-0.004347524,-0.012634434,-0.019341637,0.187577805
Danish,Trigram,-0.9959332007805037,0.08997283744853127,-0.05974189989070278,-0.10123801831924203,-0.1133673721566276
Divehi,Unigram,0.05587173,0.014600773,-0.022910376,-0.021565864,-0.021272263
Divehi,Trigram,0.6307242142845867,-0.04479008938326049,-0.04147459513804653,-0.04898616297699864,-0.698694421504383
Dutch,Unigram,0.077711365,0.006911802,-0.00940565,-0.034181694,0.241030323
Dutch,Trigram,-1.5274884316953388,0.12372521500767206,0.006589245098896063,-0.1432029556924503,0.17042775098885216
Emilian-Romagnol,Unigram,0.119411365,0.006823009,0.008286749,0.008736316,0.194646188
