value,gram
2.150082486602003,unigram
4.942749481177602,unigram
1.8852072729657583,unigram
1.1024542295563071,unigram
3.8651481565364314,unigram
3.2570088224449405,unigram
1.8581959918656095,unigram
3.4854316230264133,unigram
4.389371862711714,unigram
2.6768126158701877,unigram
2.0931098254222817,unigram
1.8138302066139338,unigram
1.5270553722101523,unigram
1.2912762228789205,unigram
1.3627215251879932,unigram
2.105568806085358,unigram
1.2941985448318682,unigram
1.8352818537947164,unigram
1.8411321538940015,unigram
3.010993436359827,unigram
2.310809721197483,unigram
1.677251492191795,unigram
2.6058181779242355,unigram
2.267295338686443,unigram
3.014050527055102,unigram
3.5874681856802786,unigram
2.827394975629117,unigram
2.039908697658845,unigram
1.9716203859664407,unigram
2.523175044946543,unigram
2.0023628516491803,unigram
2.7876928692331417,unigram
2.05299103096057,unigram
4.361025130456358,unigram
3.7672544258795932,unigram
1.8621991248915504,unigram
1.6382844890959385,unigram
1.6194014184543644,unigram
2.457165583207557,unigram
3.2934792900213568,unigram
2.0691692313475,unigram
1.1917349918221452,unigram
1.3717805006002783,unigram
1.6888870295962493,unigram
2.2001390772653284,unigram
2.2631837228143223,unigram
1.0352473184325843,unigram
3.029368843494016,unigram
2.304150398901478,unigram
4.79812779230336,unigram
4.877883942759505,unigram
1.735094360166367,unigram
5.444247197274933,unigram
4.38690156631878,unigram
1.7973700934011752,unigram
3.6659064681924893,unigram
1.380439940041848,unigram
2.6715274437378724,unigram
1.450998961001713,unigram
3.6868223971588696,unigram
5.154176416248671,unigram
4.335631021305547,unigram
1.9827219734510622,unigram
4.951043009046765,unigram
2.2963599691630847,unigram
2.582178009887805,unigram
3.382760952418613,unigram
2.7811765583269747,unigram
4.329436790990329,unigram
3.2208560291265678,unigram
5.132571134984992,unigram
5.595650162455252,unigram
3.3961488999065446,unigram
6.4071288979284,unigram
4.566360935316768,unigram
5.417862091355342,unigram
4.574937233586109,unigram
5.56864320556315,unigram
5.590701478787258,unigram
4.4489600724931275,unigram
4.6818867679064216,unigram
4.369842299118963,unigram
3.275743001406226,unigram
5.22191140747975,unigram
4.156838839542912,unigram
4.677283757753812,unigram
1.9831061549951574,unigram
1.773268698467092,unigram
1.7839949175387395,unigram
1.2054585474035253,unigram
1.37042870936456,unigram
1.700572038347691,unigram
1.8540724695995827,unigram
3.633761816341423,unigram
1.5005028113623258,unigram
1.6501051134904716,unigram
1.3465760670550115,unigram
2.8309132953227025,unigram
2.309850447319136,unigram
1.3879726808328052,unigram
1.7694893946615782,unigram
2.3453506257283987,unigram
1.0675626895876968,unigram
2.2156507221270063,unigram
1.4293502958384008,unigram
3.4437846546488684,unigram
4.571112141811766,unigram
1.4830523464502052,unigram
1.6912425974832392,unigram
4.403533880993395,unigram
4.344454351065123,unigram
3.299332928815005,unigram
4.083064811287814,unigram
4.8189679551926226,unigram
2.029727537924434,unigram
1.6263142996817095,unigram
0.7738998906787913,unigram
1.8904426027606394,unigram
1.8524704426820615,unigram
5.088207437606598,unigram
5.413728882393659,unigram
3.0148484625434153,unigram
2.9616097179033165,unigram
2.5693558783625132,unigram
5.3921857984763495,unigram
4.243287963807983,unigram
1.2543475817404448,unigram
8.346433670481904,unigram
8.71779993567695,unigram
2.6492119656067628,unigram
1.8989819126394742,unigram
4.004725965896316,unigram
2.670085683063396,unigram
2.823263301165332,unigram
4.596127104597015,unigram
5.047914565022898,unigram
1.6746395949083124,unigram
4.1159717602869215,unigram
9.369673022059558,unigram
1.4645420429767344,unigram
0.5905053656990988,unigram
1.1303607311742452,unigram
2.7865393760922146,unigram
2.304772197073797,unigram
1.7732931341333966,unigram
1.797966557698841,unigram
1.4199896052586904,unigram
1.562176647850765,unigram
2.18244803811583,unigram
1.624244422983773,unigram
2.323748050012624,unigram
3.380378556123689,unigram
0.9783491876077073,unigram
2.2611529895669813,unigram
1.699767794534837,unigram
1.277406428262302,unigram
0.9694651209499336,unigram
3.206947214535907,unigram
4.411549212908913,unigram
3.858750810334143,unigram
2.274926701383068,unigram
1.4830924351229977,unigram
1.0900735131157946,unigram
1.1641928649340385,unigram
0.9422319909899346,unigram
2.0551598778705764,unigram
1.3820756659960902,unigram
1.9245102188450667,unigram
1.6283989075026164,unigram
2.1093952834960645,unigram
1.43206828243591,unigram
0.7619074873035871,unigram
3.2775609821245877,unigram
3.8591813155260293,unigram
2.4433052145432934,unigram
3.4558556665759244,unigram
1.380334280116637,unigram
1.2707607403279249,unigram
1.5968153124299929,unigram
2.338990561989054,unigram
1.3728396468730995,unigram
1.0825273309226953,unigram
1.9156351980822657,unigram
3.934050524488643,unigram
2.3105513743516624,unigram
2.9494355129410086,unigram
1.1703828433567454,unigram
0.8964195110154303,unigram
1.6990265742139528,unigram
2.9405654832888994,unigram
2.4452058159919035,unigram
