1,2,3,4,5,language,source,gram
2.432152601,2.683773392,2.842600356,2.780082683,3.418760744,Eng-NA,adult,unigram
2.134993761,1.627232685,1.398466077,1.344194795,1.57040881,Eng-NA,adult,trigram
2.34243497,2.59698282,2.768746325,2.83713728,3.423081961,Eng-NA,child,unigram
1.953623026,1.438991406,1.47283565,1.411727436,1.562784714,Eng-NA,child,trigram
2.562547274,2.926402664,2.732214242,2.822207715,3.593482593,Spanish,adult,unigram
2.0454885,1.381242422,1.155170164,1.23901188,1.409557202,Spanish,adult,trigram
2.362573664,2.910174903,2.860592838,2.690316886,3.868813835,Spanish,child,unigram
2.028621339,1.487390304,1.311932228,1.256773682,1.510789827,Spanish,child,trigram
2.417239216,2.864421814,2.614101984,2.806374412,3.520200639,French,adult,unigram
1.942463376,1.444195452,1.076618023,1.11338335,1.218014712,French,adult,trigram
2.320913219,2.660169519,2.767248741,2.473192092,3.558676421,French,child,unigram
1.859313153,1.418886256,1.1851034,1.048879742,1.309691297,French,child,trigram
2.63039659,2.940033833,3.045424611,3.286114717,3.552628915,German,adult,unigram
2.02389934,1.486872248,1.395652715,1.502388371,1.428118498,German,adult,trigram
2.452479979,2.857829802,3.023657838,3.191948932,3.557981329,German,child,unigram
2.140028761,1.451938945,1.31630684,1.414282608,1.338961991,German,child,trigram
2.18700758,2.486712375,2.645415382,2.761977274,3.091621575,switchboard,adult,unigram
2.56E-06,1.829122797,1.441512571,1.470229474,0.845974255,switchboard,adult,trigram
2.316022543803402,2.6538757742706762,2.8086163339239887,2.880067073204709,3.4539932124929935,sbc,adult,unigram
1.8649128343305668,1.0970166234304486,0.8240526090946824,0.9526243574742355,1.1120363682416443,sbc,adult,trigram
2.836132394782832,3.2211683664998922,3.0937212643207896,3.1493345255846905,4.164652198724651,bnc,adult,unigram
2.3826552442600155,1.7286905162493038,1.7673974901664815,1.7356768848331974,2.043055749137979,bnc,adult,trigram
