1,2,3,4,5,genus,gram
3.928853337350228,3.4133883651058667,3.476590001777001,3.5339663307901086,3.883637652131492,Lowland East Cushitic,unigram
3.587612965849303,2.15107556307381,2.587932374559988,2.8134822612036032,3.0187996756925606,Lowland East Cushitic,trigram
3.1276648800187474,2.84600603172896,3.0780974128606813,2.9859127636261746,3.412897887400994,Southern Iroquoian,unigram
2.8796689886520923,2.0520412723837875,2.781832508119243,2.629324448352445,2.9475220281573806,Southern Iroquoian,trigram
4.4050218989000385,3.841674884474539,3.909579714174208,3.707090521228076,3.907030107538352,Basque,unigram
4.051841821321615,2.359841146475556,2.5108914722197913,2.6071596487050686,2.102229647521252,Basque,trigram
3.3625921410153827,3.0483194480119242,3.121746718083997,2.7342056774223247,3.4389046013383138,Bantoid,unigram
3.1209626974306355,2.1376593630747993,2.5699971521476916,2.5975583084867804,2.8547969835174998,Bantoid,trigram
3.5538916721783114,3.4181138843649,2.3275835812116075,3.2405488090528403,2.4286316256889298,Abazgi,unigram
3.377706134072049,3.0341236352579037,1.3135436214887133,2.360585700727295,1.2140939279810599,Abazgi,trigram
3.2754187119310987,2.52742019909916,3.1270471700524407,2.7725065156424162,3.2545958406441815,Tai,unigram
3.086260605122093,1.6634912168453437,2.5793013093328994,2.963256376203452,2.801608205824108,Tai,trigram
3.9297192848017577,3.503039836391476,3.7536137901692896,3.782117991097498,4.011212982665218,Baltic,unigram
3.705892858765911,2.8174471102631267,2.64750415507081,2.979260392039725,2.894095072802559,Baltic,trigram
2.8610444305834686,2.2378890985536297,2.441870388508846,3.1034487702112683,3.1178331227088716,Pacific,unigram
2.8467520991281074,2.3440287072434387,1.421913491024428,2.5164274906454827,2.297516351654416,Pacific,trigram
3.8721409012539834,3.4241731496157017,3.792442454147775,3.8168249332488466,3.9456674597695613,Turkic,unigram
3.555758291642776,2.253482831352911,2.7182796400489533,2.7560225999295715,2.6096940650792106,Turkic,trigram
3.7179753407554337,2.90362754691883,3.4687025914103096,3.111103872780288,3.3779888135604113,Aymaran,unigram
3.1499518833096145,2.528489264566123,1.8022283312521108,1.4439439714248168,2.32626385068433,Aymaran,trigram
2.6171116747313965,1.8730158688255616,2.386125873844419,1.9890869479138982,2.8500618146517214,Ubangian,unigram
4.804203291892596,3.1224587392338523,2.3863139321857494,3.1189010951665748,3.8086207142551673,Newaric,unigram
3.7849275496237675,1.473842856246586,0.3631020962755041,0.705083991432531,1.5854664794644293,Newaric,trigram
3.745402113620565,3.1612982970962427,3.582127837130062,3.728239398280837,3.875873891852183,Armenian,unigram
2.853871320304645,1.0315492594896,1.3122632068768105,1.5072705073252006,1.2223248239238862,Armenian,trigram
3.2827607476738105,3.0962369857235275,2.9136190506269246,3.328088691901847,2.941073450786308,Mordvinic,unigram
3.1234805407509802,2.5061772233115494,2.5130722199038966,2.7935454415309566,2.240502341611539,Mordvinic,trigram
4.103640846071295,3.8324622939366635,3.8800564707426792,3.2401896566389286,3.8336769793933176,Chinese,unigram
3.858782802439487,2.7776392839746724,3.1067647500082303,3.0079939545456407,3.3943656720505597,Chinese,trigram
3.6691530894698414,3.604630566039032,3.2743916903813233,3.473054574585646,3.754506839384735,Semitic,unigram
3.421771281946426,2.7417986267024803,1.8490054454269658,2.600244830160241,2.5069357579228333,Semitic,trigram
3.2034816870407936,2.9086660790241146,3.1136505699459627,2.9714592684056536,3.5018022429320745,Nilotic,unigram
3.1220871789594438,2.8269569635391236,3.044659823362774,2.9063122781385355,3.407538475904007,Nilotic,trigram
3.64468896011781,3.1510243345444895,3.3649907256333083,2.957373817817632,3.8375544416274288,Berber,unigram
3.5168285134747497,2.7304128249732136,2.901569765477788,2.506687943222644,2.44036430213269,Berber,trigram
3.4861376485667415,2.956811216464319,3.3695631785382685,3.1256423600921455,3.535787036578712,West Chadic,unigram
2.8625179601235433,1.6368446342191822,2.2325351091542904,2.6638403423223513,2.522800134161305,West Chadic,trigram
3.884814213674629,3.6573797710695337,3.813140167365485,3.585706503148881,3.5764114611112845,Siberian Turkic,unigram
3.8160921523347056,3.2303387823134977,3.383656573572601,2.9754204571016047,2.876189954607907,Siberian Turkic,trigram
4.047779888377843,3.7030508838685123,3.952623601396397,3.952623601396397,4.149654050221015,Kartvelian,unigram
3.903707737705244,2.535512000952656,2.9299018830192933,2.6122707478443266,2.9105656158133164,Kartvelian,trigram
4.214826421297912,3.905750368375319,3.9963982557480504,4.055592384260853,4.1440818071541194,Oghuz,unigram
3.9218012265811892,2.553182015671206,2.650194102267276,2.454124234249439,2.1702196702423873,Oghuz,trigram
4.257487543894071,4.16956345186133,4.321433023770406,4.015723478612745,4.084103606654012,Khmer,unigram
3.1611947778181357,3.423652367652411,3.1132917633832013,3.299501250306909,3.715063838840522,Central Luzon,unigram
2.798044266475008,2.0034845627009217,2.3722403712806592,2.6010304327779377,2.4706143601876294,Central Luzon,trigram
3.8653938851801364,3.306410321130521,3.6138697629380157,3.711812322407924,4.045055109798193,Slavic,unigram
3.5467229047075777,2.1583787780453028,1.7038592662740326,1.9374947353047567,2.3985785840574234,Slavic,trigram
3.79441997925869,3.3522025508808317,3.426894493293087,3.4836523180158054,3.723950599170485,Cushitic,unigram
3.5781226577098675,2.6036851718227236,2.9427649195189884,3.0454236267634673,3.160155481355012,Cushitic,trigram
3.5881765740132554,2.842245825575523,3.325040478930705,3.079743238047353,3.4842728694126865,Malyo-Polynesian,unigram
3.1424621602738876,1.6134707667583181,2.071749219646359,2.2755619252602974,1.5465139331982898,Malyo-Polynesian,trigram
