language1,language2,cosine
Basque,Basque,1
Basque,Alemannic,-0.5191046607710215
Basque,Wolof,0.20120623064650883
Basque,Bosnian,0.04528942470871557
Basque,Urdu,0.7519137774338515
Basque,Afrikaans,-0.5299812502668492
Basque,Anglo-Saxon,-0.17517098304048367
Basque,Slovak,-0.10339545264547471
Basque,Silesian,0.6879214418625502
Basque,Acehnese,0.7171374198939183
Basque,Wu,0.536438492364475
Basque,Bashkir,0.14416059282332205
Basque,Chuvash,0.14440701640601303
Basque,Gagauz,0.4242770591468634
Basque,Karachay-Balkar,0.5699779294827978
Basque,Sakha,-0.1295877308032471
Basque,Tamil,0.19578102153174004
Basque,Telugu,0.4490161813079326
Basque,Georgian,0.22638741015892533
Basque,Tatar,0.281125046747558
Basque,Uyghur,-0.6678663506447327
Basque,Icelandic,-0.038035230054533464
Basque,Belarusian,-0.6380638241488987
Basque,Gujarati,0.6733308947822639
Basque,Marathi,0.5781171317229203
Basque,Estonian,-0.272957331469837
Basque,Finnish,0.22599532095894936
Basque,Hungarian,-0.7808465854370591
Basque,Bulgarian,0.14709447699658873
Basque,Yoruba,0.45718088628897563
Basque,Quechua,0.6146068036301698
Basque,Croatian,-0.14552538535368592
Basque,Macedonian,-0.08448771727206035
Basque,Serbo-Croatian,0.33202245246824025
Basque,Pangasinan,-0.7682546328018776
Basque,Kapampangan,-0.04958891964934559
Basque,Khmer,0.6308409036913443
Basque,Javanese,0.34952661353445885
Basque,Malay,0.11363192393366074
Basque,Sundanese,0.4070793147623064
Basque,Hakka,0.7487638773456159
Basque,Turkish,0.20118743314334958
Basque,Kazakh,0.21994990248454924
Basque,Kirghiz,0.5622533546432248
Basque,Turkmen,-0.24580133881940786
Basque,Persian,0.7982115955232162
Basque,Tajik,0.578063965155612
Basque,Latin,0.8545303456542636
Basque,Galician,-0.5541508444260675
Basque,Romanian,-0.15947441090452105
Basque,Norman,-0.3765449239817216
Basque,Corsican,-0.4498566555789925
Basque,Bengali,0.18803096511150175
Basque,Waray,-0.6708534902854025
Basque,Welsh,-0.39755391133483314
Basque,Armenian,0.5086965949552239
Basque,Korean,0.9359924436514471
Basque,Assamese,0.39440412372898204
Basque,Bhojpuri,0.40020626203974663
Basque,Divehi,-0.9595236725307532
Basque,Catalan,-0.45615397064022223
Basque,Walloon,-0.5217443767938997
Basque,Yiddish,-0.5732126711055645
Basque,Maltese,4.018626860194473e-4
Basque,Romansh,-0.518284591075502
Basque,Bavarian,-0.7160875822611005
