1,2,3,4,5,6,7,8,9,10,language,source,gram
2.418438669620242,2.6487301992655987,2.8013699333454847,2.745504235671108,2.7558919190622615,2.8590272475792315,2.781331024048056,2.7447174205251557,2.813161784173446,3.4187607442816543,Eng-NA,adult,unigram
2.134993761021494,1.627232684669891,1.3186096488538313,1.371252063809214,1.416339825725511,1.3614550593071226,1.3990743769911407,1.439632708347359,1.343319610807108,1.5704088099142266,Eng-NA,adult,trigram
2.342434969888315,2.5879276427399316,2.7277989132635345,2.8022228113257053,2.7522074088260475,2.83494135763073,2.770059989592967,2.8127662041540424,2.8629669054717657,3.423081960990443,Eng-NA,child,unigram
2.0955477310332635,1.753782255081035,1.4278400210838926,1.4757288555337038,1.4172567424486666,1.4662065484760547,1.403150667321268,1.4425992141247779,1.400350724338744,1.5627847136562913,Eng-NA,child,trigram
2.504291501420137,2.7352298432982556,2.826920302427434,2.982591878851568,2.727013566197429,3.066792549366424,2.6979989742061825,2.882713944252635,2.6803554442491717,3.645099906125766,Spanish,adult,unigram
2.045488500026937,1.4048260645900945,1.2884610895389983,1.246975523252624,1.1324488024752504,1.3343209395451112,1.2632558600099484,1.1114201552899423,1.190081635150235,1.3999152272125983,Spanish,adult,trigram
2.3028197838830664,2.6918613688190813,2.8596854470611213,2.966599275654162,2.795320073165372,2.8882720248536975,2.9793119056801953,2.87391573548306,2.6903168862953115,3.8688138348572956,Spanish,child,unigram
2.0286213388353387,1.4753826520754592,1.2927334863052158,1.3599688260243674,1.2713968697411022,1.3696713431550822,1.3208152635756987,1.3051383977886521,1.2197343455038436,1.5107898269457714,Spanish,child,trigram
2.4651960641828907,2.7172772485578256,2.965793505567506,2.903796002294891,3.0265919296528416,3.106084071898825,2.9873071320256352,3.2519630930928134,3.518833171540128,3.5528392159636923,German,adult,unigram
2.084858069095188,1.592661959000297,1.4477157019665596,1.4060670522835361,1.4990085966131095,1.42063399029955,1.3586775626724987,1.4596661829323048,1.379735777709666,1.4785769513843707,German,adult,trigram
2.4524799792501732,2.8411665186677633,3.0078477134326533,2.9541075460124353,3.065025293296678,2.973655338854536,3.0415759119387094,3.2448354461499025,3.1907127601585787,3.557981328982705,German,child,unigram
2.1400287605106176,1.468407069944575,1.3948642551109802,1.3413480286805013,1.3902684322563434,1.2923676267731108,1.3567657362209082,1.395853484144327,1.3185608197769731,1.4175583253972426,German,child,trigram
2.293019492775152,2.6313364303621087,2.8622258640567426,2.701815921071679,2.978325517829201,2.8081663646705937,2.645653201973487,2.8994888999846764,2.6478269226940645,3.520200639027599,French,adult,unigram
1.942463376440366,1.4496686070317844,1.148907609939864,1.0428079190889286,1.081354744657355,1.2287842315823079,1.0237956545496412,1.0802144709158148,1.2816818908425973,1.184578902876658,French,adult,trigram
2.22645602180397,2.5070064956083558,2.7352355393623995,2.6855071342863575,2.545841093626368,2.6971627282448107,2.8354462140392633,2.7090031276151523,2.4673837264701706,3.558676421277608,French,child,unigram
1.8593131533346137,1.4264684108961174,1.2072989356259476,1.1340989584674137,1.274555164401619,1.1294122322131668,1.2705880966063188,1.0981243968966894,1.3355488438829355,1.2120097687372007,French,child,trigram
2.8932990276656505,3.0114018921845305,3.052287883994513,3.294033186430389,3.024562402999606,3.183015911809656,2.894516769587714,3.024857482048952,3.1801693123712367,2.927857326683661,Chinese,adult,unigram
2.6071945756769286,1.6684616000685193,1.1293401104994352,0.9787786080471264,1.1166576206910095,0.9882030717887872,0.8539589057096687,1.1036589268617958,0.9888151430661132,0.8892527532346208,Chinese,adult,trigram
2.7140904645220685,2.843949565625475,3.013469981455821,2.845198229089484,3.0167148159982284,2.819424373714012,3.0611466830691376,2.861193872409244,3.0867221216141023,2.861546359852871,Chinese,child,unigram
2.4533699980123225,1.7213087606789834,1.2768589757807687,1.1980060377313015,1.096997526873332,1.2765135131384162,1.0940787239127034,1.24071780811233,1.0063593954495504,1.1610357980750987,Chinese,child,trigram
3.549730442829377,2.866282543683606,3.3060520485133793,3.0486918214451824,3.2994802747253935,3.111236080157931,2.854882493642415,2.9027667139307076,3.0528695613818915,2.6657587060511925,Japanese,adult,unigram
3.2668871913999076,1.7686013300478685,1.2463351124117723,1.1886003545248078,1.0831040909156606,1.2932136277128814,1.0850944312611857,1.2671101027874319,1.0115904129092472,1.095584072138319,Japanese,adult,trigram
3.137432433484469,2.7457905442737545,3.1911231100903596,2.8554101078341465,3.0970266838574134,2.9099593500304977,3.214977755991588,3.032226872629507,2.886688820419819,2.4888829455354466,Japanese,child,unigram
2.8457461187351,1.721794946234385,1.219904501235831,1.3698640978218641,1.2750485635350024,1.1369063875956162,1.3738975492115102,1.1916505015749836,0.9874331233800676,1.0201805767655003,Japanese,child,trigram
2.836132394782832,3.2866387749718995,3.2281377698357634,3.1894971982558005,3.2094031616922543,3.1949833569586517,3.2242849717283195,3.091537201324446,3.1472030039036776,4.164652198724651,bnc,adult,unigram
2.3826552442600155,1.7227203820458397,1.7409256796643013,1.7446911417253663,1.7569724683829218,1.76680510764734,1.775863300416959,1.7119681038851795,1.7573472359031685,2.043055749137979,bnc,adult,trigram
2.179328023384797,2.403659695241302,2.521780983081607,2.5978602145827097,2.643952517839606,2.6810458553531764,2.7227630270233276,2.760368817337948,2.8010847491316753,3.091621575380685,switchboard,adult,unigram
2.5627184641052736e-6,1.8291227970889399,1.5715160888755217,1.4289493933473465,1.4569007201806108,1.4302342306239246,1.4187802455178486,1.4353039304219046,1.4702294737128978,0.8459742553454627,switchboard,adult,trigram
