language,source,gram,family,1,2,3,4,5
Belarusian,wikipedia,trigram,Indo-European,1.9684184029781686,0.2200110844704828,-0.7224588289922907,-0.6277259724335501,-0.8382446860228109
Gujarati,wikipedia,unigram,Indo-European,0.5021049801296398,0.20403446164635763,-0.08471813753128199,0.36479599544881935,-0.9862172996935343
Gujarati,wikipedia,trigram,Indo-European,1.975741182995405,0.0348054117970773,-0.5007141942637109,-0.6231746402998509,-0.8866577602289201
Marathi,wikipedia,unigram,Indo-European,0.33865024059243476,0.20068823360757682,0.06502331298689024,0.18749999013888585,-0.7918617773257881
Marathi,wikipedia,trigram,Indo-European,2.2799806652260743,0.011537852213529431,-0.6319264670332649,-0.7248672945343548,-0.9347247558719838
Estonian,wikipedia,unigram,Uralic,-0.10262327920998082,-0.27462803962984506,-0.12033532588206697,0.07402747909318208,0.423559165628709
Estonian,wikipedia,trigram,Uralic,2.306037296480885,0.02584844885101578,-0.7405076935374484,-0.7589669916313276,-0.8324110601631247
Finnish,wikipedia,unigram,Uralic,0.190296753319803,-0.3101945883606536,-0.25112946165440597,-0.06488400041733833,0.43591129711259313
Finnish,wikipedia,trigram,Uralic,2.7485051258108957,-0.18950945638496108,-0.7849998091195712,-0.8392250853288877,-0.9347707749774753
Hungarian,wikipedia,unigram,Uralic,-0.6440596940349477,-0.07714235964944649,-0.05789280297887567,0.20838626451666542,0.5707085921466035
Hungarian,wikipedia,trigram,Uralic,1.4696106943829135,-0.3440629492910302,-0.25357443233514554,-0.38740888978625243,-0.48456442297048574
Bulgarian,wikipedia,unigram,Indo-European,0.15194659915108621,-0.1681765661919319,-0.2681065459931289,-0.15797769953179053,0.44231421256576464
Bulgarian,wikipedia,trigram,Indo-European,2.0430763018265976,-0.10718525724662209,-0.6701884477312896,-0.5460743338328927,-0.719628263015793
Yoruba,wikipedia,unigram,Niger-Congo,0.24399921819055992,-0.2843023588853235,-0.11299430875968675,-0.06498118830273292,0.21827863775718326
Yoruba,wikipedia,trigram,Niger-Congo,1.9465994064194256,-0.1194041989506931,-0.5838187093223806,-0.5040111397541991,-0.7393653583921531
Quechua,wikipedia,unigram,NA,0.5879053659763112,-0.13226283110186987,-0.2653137908574732,-0.4233812278201219,0.2330524838031538
Quechua,wikipedia,trigram,NA,2.284145953240654,-0.5779669250643679,-0.7000117244388829,-0.37173833000126866,-0.6344289737361344
Croatian,wikipedia,unigram,NA,0.0016704390406090397,-0.3464241569582165,-0.14340948101416817,-0.07603359877106453,0.5641967977028406
Croatian,wikipedia,trigram,NA,2.0850397946805117,-0.06382256310736056,-0.6120569047170862,-0.67117050134665,-0.7379898255094144
Macedonian,wikipedia,unigram,Indo-European,0.014341319236538475,-0.19188836135317722,-0.3401406309432362,-0.11684166340200175,0.6345293364618767
Macedonian,wikipedia,trigram,Indo-European,1.8840374831023223,-0.08251140397482692,-0.6464846847017343,-0.4990462254510185,-0.6559951689747426
