1,2,3,4,5,family,gram
0.1613615467157625,-0.39216892318890767,-0.010390254175259937,-0.1737717482204797,0.24981087922573006,Austronesian,unigram
0.6413456114440225,-0.48907854306473975,-0.023954747886651858,0.20090376895522738,-0.2792385984604315,Austronesian,trigram
0.23870532616999296,-0.171495176600426,0.05274784437324842,-0.013363816918417593,-0.08316365061465003,Turkic,unigram
0.7582555058900045,-0.16486944125287747,-0.18219196603090548,-0.20410613179686332,-0.4663255661583161,Turkic,trigram
0.06366971757107409,-0.23114589044560496,-0.026161399523756845,-0.16835270106406597,0.361990273462355,Nilo-Saharan,unigram
0.06057623497866693,-0.2345539804416532,-0.016851120618002646,-0.1551986658422413,0.3460275319232302,Nilo-Saharan,trigram
0.0721704694483214,-0.07835017340662631,-0.27941339811827204,-0.12218555418044641,0.4077786562570247,Uto-Aztecan,unigram
0.2885551864971898,-0.37758129150039954,0.04536985779284519,-0.1909884775959938,0.2346447248063579,Uto-Aztecan,trigram
-0.05611468413868659,-0.25574064237451744,-0.09473616478328761,-0.29058017275665504,0.697171664053144,other,unigram
0.09080268954437054,-0.3529431329572503,-0.23319314805148927,-0.16286009449044814,0.6581936859548172,other,trigram
0.4934284819934267,-0.10042395120731396,-0.37660904285665264,-0.2545572056651024,0.2381617177356401,Quechuan,unigram
1.1200166089667003,-0.1394894422460271,-0.6542029711568167,-0.41103340823844636,0.0847092126745892,Quechuan,trigram
0.11825463599566244,-0.23844540657754254,-0.0772837553993857,-0.030832950656364266,0.22830747663762985,Kartvelian,unigram
0.9273566686636325,-0.35143935799600223,-0.046449186022317734,-0.4362983997864447,-0.06578545322829488,Kartvelian,trigram
0.025242298605624432,-0.2596686113645507,-0.12016133017670862,-0.152137836000594,0.3462826510792939,Indo-European,unigram
0.590035314843816,-0.30913670062164184,-0.08633455821767196,-0.378739146030056,0.045162075399498666,Indo-European,trigram
0.2176660617552577,-0.509100006843842,-0.08755791127809243,0.6369161903663993,-0.25792433399972303,Na-Dene,unigram
0.7445244611242361,-0.5238308085361386,-0.15599317416944825,0.6038094776007055,-0.6685099560193551,Na-Dene,trigram
0.20837950631253133,-0.03339021511031692,0.08791217077673341,-0.09115347708760702,-0.1717479848913408,Korean,unigram
0.2799915749655657,-0.27532071748361153,0.05469757457839952,-0.109545174899251,0.02578745346402589,Mongolic,unigram
0.500923610166655,-0.3223850294181583,-0.06229384589069298,-0.039119349708576,-0.0771253851492264,Mongolic,trigram
0.6849796995842327,-0.27098574601656056,0.02631543121388681,-0.5156050697157244,0.006158691959860185,Sino-Tibetan,unigram
0.9434369852389877,-0.18803322572509323,0.12277583943076809,-0.5590120144881896,-0.33752453377728403,Sino-Tibetan,trigram
0.14007071136951119,-0.2649224057985444,-0.048494582096915886,0.033855837653355404,0.17187317863523224,Altaic,unigram
0.7852296024820854,-0.34877007304838753,-0.12288231284229853,0.10079017412936245,-0.2378897332340168,Altaic,trigram
0.15782758748137526,-0.3429132806679087,0.14699941726688204,-0.1192944461119767,0.1573807220316259,Astronesian,unigram
0.507065736012577,-0.7552829255397775,-0.24521554897014974,0.07495234239515591,0.41848039610219345,Astronesian,trigram
0.3023113981933772,-0.23517025377647816,0.12216221673900218,-0.22576978330488387,-0.08971617803336891,Eskimo-Aleut,unigram
0.5776508807132852,-0.49849477658854546,0.004273621849050002,0.19065950313271607,-0.575775236401455,Eskimo-Aleut,trigram
0.2215898616085109,-0.23511363781453723,-0.015240817815169713,-0.2544613370097441,0.13902052296219447,Niger-Congo,unigram
0.4673967591986881,-0.29692146372736555,0.14169669396701837,-0.21557432190909057,-0.08458549622307382,Niger-Congo,trigram
0.4020957076703793,-0.41225208616622444,0.15282295832525516,-0.2047757603047664,0.06210918047535685,Aymaran,unigram
0.8997764230622156,0.2783138043187243,-0.4479471289952881,-0.8062314888225821,0.07608839043693116,Aymaran,trigram
0.2840210244572394,-0.4639774883746992,0.13564948257858145,-0.21889117183144302,0.26319815317032225,Kra-Dai,unigram
0.4674770624565139,-0.9552923258202355,-0.03948223333267986,0.3444728335378726,0.18282466315852863,Kra-Dai,trigram
0.037549084891635776,-0.2441097633981517,-0.012018382266430372,-0.10420303150093702,0.32278209227388244,Iroquoian,unigram
0.22159113951910303,-0.6060365767492017,0.12375465898625393,-0.028753400780544336,0.28944417902439135,Iroquoian,trigram
0.1591113189124791,-0.15481246668269572,-0.22508370306527903,-0.14015540334814558,0.21279539528756458,Afro-Asiatic,unigram
0.690632438370693,-0.4314585376852996,-0.2730477204395126,-0.0758626081956979,-0.002006544862973192,Afro-Asiatic,trigram
-0.2789200550382854,-0.05864881456196562,0.12313232939874208,-0.29857312890212284,0.4790098817746861,Constructed,unigram
0.47630587891967885,-0.4704372390381355,0.22778291207943435,-0.5941955989415932,0.16384346531090663,Constructed,trigram
0.269204024570743,-0.0743988741255146,0.14716461426483507,-0.12505506479053174,-0.21691469991953172,Nakh-Daghestanian,unigram
0.7349418699963914,-0.2539407525893904,0.1936938079494146,-0.0072169402990698295,-0.6674779850573458,Nakh-Daghestanian,trigram
0.4509424736369958,-0.11240454078850348,-0.04449971108883455,-0.24698890403496687,-0.0470493177246909,Basque,unigram
1.3254490740729583,-0.36655160077310045,-0.21550127502886518,-0.11923309854358788,-0.6241630997274044,Basque,trigram
-0.13800827249772252,-0.1794992293171338,0.08324831348331507,-0.2700710806860518,0.5043302690175921,NA,unigram
0.03330640389354045,-0.5275125290400616,-0.09844417534499827,-0.18719413582342892,0.3894411939076279,NA,trigram
