value,slope1,slope2,slope3,slope4,slope5
No dominant order,-0.709973132168902,0.0059897058271332435,-0.041610185413066936,-0.03603277498803912,-0.2593818184116161
SOV,-0.42975280100397045,0.006077793685893116,-0.009059391567702486,-0.10636351320854148,-0.41784342420881104
SVO,-0.8249932445429682,0.054844078390344456,-0.005101781286034181,-0.08445228660348826,-0.21385177534347868
VSO,-0.859017242995462,-0.033458724902243005,-0.038858798600026986,-0.07726805544418802,-0.011074810589599263
