position,length,speaker,n,empirical_stat,ci_lower,mean,ci_upper,language
7,9,Adult,2930,1.117851295975695,1.0953522562614477,1.1186114322496354,1.1450560263643492,Chinese
8,9,Adult,2930,1.0407875402795577,1.0119530988248135,1.0412600809225856,1.0683232946322638,Chinese
9,9,Adult,2930,0.9896534796867761,0.9626502157254431,0.9896573335050316,1.0191403737470965,Chinese
1,5,Child,10227,8.045563113413168,8.03375799631436,8.045482360963028,8.057371674289659,Chinese
2,5,Child,10227,1.8306466598973266,1.8170769842440073,1.8296824148252142,1.8413665504111472,Chinese
3,5,Child,10227,1.3022527784689018,1.2834552846236278,1.301588421171917,1.3154127440460035,Chinese
4,5,Child,10227,1.114532656108714,1.1010377818938748,1.1147467465893526,1.1292781015476128,Chinese
5,5,Child,10227,1.0515308295035741,1.0406296979032374,1.052562698271427,1.0655919865439618,Chinese
1,4,Child,14932,8.09339590657661,8.085976064878178,8.094352561477805,8.102176871147739,Chinese
2,4,Child,14932,1.848477855815729,1.8349357030425544,1.8481671596608085,1.8602619456176683,Chinese
3,4,Child,14932,1.2201815516419237,1.2069280911766906,1.221569425792915,1.2342569562387218,Chinese
4,4,Child,14932,1.0434968971771814,1.0315526909469568,1.0427652254442794,1.0522376371953241,Chinese
1,8,Child,2546,8.062966455368198,8.04486006680475,8.063209412390101,8.085414862155165,Chinese
2,8,Child,2546,1.8784024488804196,1.84881522910668,1.8789321210584768,1.9073131101298126,Chinese
3,8,Child,2546,1.2633872609014878,1.230834131309205,1.2623372118967495,1.2875321752029614,Chinese
4,8,Child,2546,1.1717991194009594,1.1412658099128987,1.1707738775150662,1.1963496161204854,Chinese
5,8,Child,2546,1.1662020739475198,1.139140365248764,1.1651029051811042,1.1960108488446974,Chinese
6,8,Child,2546,1.1310347580853541,1.097787592526692,1.129754197619042,1.1561926640119502,Chinese
7,8,Child,2546,1.1223578461491959,1.0904920045658069,1.121582553666685,1.1478930119749888,Chinese
8,8,Child,2546,1.0249018446254805,0.9934433920146533,1.0247651495553336,1.0679287913364401,Chinese
1,6,Child,6518,8.043746967701942,8.030122856360046,8.044685060610687,8.057076111272202,Chinese
2,6,Child,6518,1.8540101872151817,1.831413865435083,1.852629658359441,1.8708956895557858,Chinese
3,6,Child,6518,1.2956368483148055,1.2750349760595074,1.294835693646004,1.312915124108397,Chinese
4,6,Child,6518,1.1878554456326889,1.1710073958431955,1.188716705025029,1.2066925546076077,Chinese
5,6,Child,6518,1.101569489234428,1.0866906265304952,1.1026318592090993,1.119594207815723,Chinese
6,6,Child,6518,1.063279512799858,1.044179028284517,1.061469055027931,1.077093668738806,Chinese
1,7,Child,3893,8.056518790962578,8.042985328310044,8.058151832261368,8.073941957197304,Chinese
2,7,Child,3893,1.8657514731130103,1.8441676199298391,1.867829616217389,1.8934637683539657,Chinese
3,7,Child,3893,1.2896652729995692,1.2687943774049888,1.290655272153359,1.3138067604963863,Chinese
4,7,Child,3893,1.1627617742174425,1.1426179732665163,1.161901830768879,1.1834192982835816,Chinese
5,7,Child,3893,1.179105373877901,1.1555117433064401,1.177456239066576,1.2008616056397552,Chinese
6,7,Child,3893,1.1122201808216086,1.0860575197198048,1.1133841826589317,1.1348317562523276,Chinese
7,7,Child,3893,1.0445544129314566,1.0244815862365593,1.045667395180796,1.068974614492456,Chinese
1,3,Child,22064,8.137532206399445,8.13104960358039,8.138036440569824,8.14707564597894,Chinese
2,3,Child,22064,1.8209971222780683,1.8108217218794884,1.8209891684473296,1.8321480711612734,Chinese
3,3,Child,22064,1.0611351864484015,1.0489412768216475,1.0618148465429724,1.0712556465530931,Chinese
1,9,Child,1644,8.08077600634591,8.05532284859033,8.08221841566464,8.106056209151472,Chinese
2,9,Child,1644,1.838791221887816,1.806995611592511,1.8378584077990547,1.8779880968396099,Chinese
3,9,Child,1644,1.2357001862966812,1.2016856889872656,1.234172289726798,1.2777551596073338,Chinese
4,9,Child,1644,1.1931360946954601,1.1492318925631309,1.1909050266151011,1.2238590667753904,Chinese
5,9,Child,1644,1.159035388715656,1.1295308687572352,1.1589451162440934,1.1927028716988226,Chinese
6,9,Child,1644,1.125245722250927,1.0956854287507758,1.1262927660440296,1.1562262001807673,Chinese
7,9,Child,1644,1.1400894437103086,1.1066990331757969,1.141706080879028,1.1722320978912704,Chinese
8,9,Child,1644,1.0922837366152853,1.0577098866811343,1.091536415744292,1.13578603356134,Chinese
9,9,Child,1644,1.0451999683739785,1.0111220364080438,1.0464599265814407,1.0829827280157676,Chinese
1,5,Adult,5101,6.995985868233743,6.980771946493398,6.996624737365459,7.01225691292478,French
2,5,Adult,5101,1.8011622706527126,1.7853366554332606,1.8044821589714264,1.826562605250515,French
3,5,Adult,5101,1.3663089156641584,1.3378570005183734,1.368511526094327,1.3942956923141454,French
4,5,Adult,5101,1.227732316626448,1.2057455329129891,1.2254970823276559,1.2457795276533878,French
5,5,Adult,5101,1.5879826072710819,1.5515060649633734,1.586742920585764,1.6316756030562531,French
1,6,Adult,4095,7.014996980893015,6.9971403149487195,7.013932456748972,7.033258186396807,French
2,6,Adult,4095,1.820957415560954,1.7922387585768043,1.8171211867908854,1.8444950709791263,French
3,6,Adult,4095,1.3908291946546207,1.3594494855258346,1.393067292130765,1.4207887009881501,French
4,6,Adult,4095,1.2747335449679866,1.249963536325101,1.2744285029089932,1.2969596381399948,French
5,6,Adult,4095,1.2118163295135684,1.1898749553837038,1.2148248185360389,1.2351093314899193,French
6,6,Adult,4095,1.6193838982355027,1.59138757136133,1.6203806150940603,1.6506659017828942,French
1,4,Adult,5545,7.0182163163710545,7.002151193081311,7.016984706359258,7.029686759926372,French
2,4,Adult,5545,1.816927421748692,1.7946132998320303,1.8162613056267136,1.8379460853107132,French
3,4,Adult,5545,1.2925077100397768,1.2732269693173408,1.2926451902011151,1.3135136227053064,French
4,4,Adult,5545,1.5984868431005315,1.562476369714393,1.5980795050084429,1.632392451080575,French
1,7,Adult,3190,7.0153521204443186,6.996506660724508,7.0141276060540845,7.033288983513943,French
2,7,Adult,3190,1.824288503951787,1.7922206967863543,1.827143371295032,1.8582188361715,French
3,7,Adult,3190,1.3784591285412588,1.3516513362909932,1.37844887417013,1.4069448594800358,French
4,7,Adult,3190,1.3035649079887845,1.2697389378069337,1.3052903800571227,1.3394876219542424,French
5,7,Adult,3190,1.2768220220613629,1.2482570352898121,1.2765369065480545,1.308626802296474,French
6,7,Adult,3190,1.2264775364376534,1.193838961343033,1.2260480614635265,1.2536595224306502,French
7,7,Adult,3190,1.5971805754126427,1.5528976401752066,1.5997454973201393,1.6522164269394262,French
1,3,Adult,5525,7.040144583326659,7.028253252383271,7.041690642447493,7.053678596164307,French
2,3,Adult,5525,1.826558623076564,1.8052058030318352,1.8257126370486092,1.8458213163716761,French
3,3,Adult,5525,1.6032240142218128,1.5683648901147542,1.6066959744483638,1.6424131573875564,French
1,9,Adult,1657,7.013616861747415,6.990109590168955,7.0152003539119345,7.040838166612707,French
2,9,Adult,1657,1.8626673887778853,1.8210703942742632,1.859482469365909,1.9038175240509756,French
3,9,Adult,1657,1.3753430005938587,1.330446976937655,1.3760721564695788,1.4283048444256123,French
4,9,Adult,1657,1.3032924012383857,1.2589376041489189,1.3053451194458146,1.3552877747156424,French
5,9,Adult,1657,1.2715553179805943,1.2287053943291872,1.2683836330875404,1.3105251771790765,French
6,9,Adult,1657,1.3016774834245532,1.2606790430623507,1.3038248623316735,1.349994475250152,French
7,9,Adult,1657,1.2569745022918204,1.226062522243144,1.2610782911335767,1.3057772055654981,French
8,9,Adult,1657,1.1394700641436395,1.0915588962902272,1.1387500989473074,1.1779825988597155,French
9,9,Adult,1657,1.5730818444587555,1.5125291906463574,1.5684529165784207,1.6309751471627094,French
1,8,Adult,2332,7.0226509896191684,6.993458534519014,7.022516728801138,7.04458908674852,French
2,8,Adult,2332,1.8216391053453318,1.7878092592054944,1.8226617416959274,1.856247295538925,French
3,8,Adult,2332,1.3246724261018874,1.2821550735069587,1.3226386059312019,1.3646238528588213,French
4,8,Adult,2332,1.2814318240200062,1.2432578217794106,1.282064745947591,1.3169116866067179,French
5,8,Adult,2332,1.3065321415816122,1.2767787723276465,1.306963331765826,1.345778997840542,French
6,8,Adult,2332,1.2675112215977795,1.2210443373251942,1.2687787176098668,1.3031843320455396,French
7,8,Adult,2332,1.1393961891097433,1.1087367698090156,1.1378123482985112,1.1668542486776823,French
8,8,Adult,2332,1.5664336855170249,1.5096202551296196,1.5686192779455135,1.6139294265294974,French
1,3,Child,19296,7.532942252718592,7.524889168783924,7.533453059582716,7.542305177411876,French
2,3,Child,19296,1.8366343975314257,1.8258946095421837,1.8363166977116718,1.8473618652665396,French
3,3,Child,19296,1.5992925191671892,1.5816430240199217,1.5971715556774566,1.6133345232297285,French
1,4,Child,17725,7.493375267545326,7.482227858030241,7.492452385551065,7.503201921249815,French
2,4,Child,17725,1.8877403590171393,1.8768493073635613,1.8877708318395574,1.8989095320708325,French
3,4,Child,17725,1.2685746659815564,1.2567400369627353,1.2685429687728667,1.2813198387474873,French
4,4,Child,17725,1.5257678659678515,1.5072391781157937,1.5248314591238294,1.5410340624928307,French
1,5,Child,14691,7.48933109339015,7.476977273514091,7.4895121439465155,7.5004295197762385,French
2,5,Child,14691,1.8091079099306036,1.7943185409680988,1.8073754141795026,1.8190631335518925,French
3,5,Child,14691,1.3828413315103667,1.3671671060413542,1.3836041568088513,1.3977590508806186,French
4,5,Child,14691,1.1921334190711406,1.1805444513734695,1.192005668926674,1.2041804266466065,French
5,5,Child,14691,1.4926149293178843,1.4734155352761866,1.4918880557160277,1.5123703202054073,French
1,7,Child,6892,7.426415879644769,7.414371538852372,7.42643498231212,7.440776542993182,French
2,7,Child,6892,1.8520499363377283,1.8359807401082575,1.8539386236287105,1.871048630294036,French
3,7,Child,6892,1.3834278893138667,1.3615326822452676,1.3847419832621766,1.4059065639972688,French
4,7,Child,6892,1.2993008982145848,1.281005203753312,1.3004789296126407,1.3201776986828186,French
5,7,Child,6892,1.3232358962868234,1.3041576462788633,1.322053833048287,1.3374646691176273,French
6,7,Child,6892,1.1685236556130099,1.1494492973144221,1.1669417911048414,1.188780819260133,French
7,7,Child,6892,1.4175285039014478,1.389160996954834,1.417167505146941,1.442079923749489,French
1,6,Child,10208,7.446748134297637,7.436364990457612,7.44597759740433,7.458070540833389,French
2,6,Child,10208,1.8577662548955332,1.8429048047380574,1.8585776467971666,1.8788051489180064,French
3,6,Child,10208,1.3876631175135743,1.3719143793594126,1.389721743129544,1.4085680337202353,French
4,6,Child,10208,1.3151856549901648,1.3016180652132414,1.3151876459579015,1.3317538582711104,French
5,6,Child,10208,1.1847781816199656,1.1686978222124957,1.1847911511469036,1.2001534177264823,French
6,6,Child,10208,1.4490836429932274,1.4297696153776351,1.448844127512791,1.4677437835311675,French
1,8,Child,4692,7.429841320329716,7.413854641581029,7.430617734505799,7.449237977462452,French
2,8,Child,4692,1.8249414989507209,1.8032753379321567,1.8252290044223154,1.849072891234945,French
3,8,Child,4692,1.4124967529035894,1.3841892415605237,1.4124299523404593,1.4471293337065139,French
4,8,Child,4692,1.2956993762794358,1.2652427791799628,1.2927680716622312,1.3193479874021257,French
5,8,Child,4692,1.3013518671652038,1.2768845253016639,1.3019285658634532,1.332623099790408,French
6,8,Child,4692,1.302580475095796,1.2783353542300848,1.3035026404950116,1.33315883015631,French
7,8,Child,4692,1.1611648321863128,1.1385035832507022,1.1620452294635244,1.1837493378411779,French
8,8,Child,4692,1.4188883965684123,1.391163203148179,1.4177989880376054,1.447595628694602,French
1,9,Child,3151,7.457184098932865,7.432913295332117,7.4599972576793885,7.48755082773504,French
2,9,Child,3151,1.844171060376302,1.8097111781110313,1.8459925122232295,1.8772022567828925,French
3,9,Child,3151,1.3504962180387932,1.3143049365961148,1.3494533144440284,1.3824962142553454,French
4,9,Child,3151,1.2834136179612576,1.2524423061760976,1.286385956527089,1.318333190297445,French
5,9,Child,3151,1.2616515754329254,1.236410579799433,1.261067824151848,1.2883058595453054,French
6,9,Child,3151,1.2763064511425342,1.2392370102652213,1.2752862436231907,1.3039744006323837,French
7,9,Child,3151,1.2829931358124331,1.257658647989629,1.283582496180757,1.3145636026782106,French
8,9,Child,3151,1.0940329692583923,1.0708454668370553,1.0924437855751088,1.1182231825406648,French
9,9,Child,3151,1.4356746506365623,1.4073222038179154,1.435142895076737,1.4614771217968454,French
1,3,Adult,55954,8.527337467482532,8.518635153522032,8.52666344326117,8.534083973832207,German
2,3,Adult,55954,2.377426136058569,2.366732574637309,2.3770926918503505,2.389037522527349,German
3,3,Adult,55954,2.665800931630365,2.645276163895578,2.665185609354567,2.681148545835116,German
1,4,Adult,64032,8.454398693873369,8.448732883361231,8.454451200937045,8.459881902192866,German
2,4,Adult,64032,2.3396420197031724,2.3286632722252048,2.339384891047798,2.351062237158202,German
3,4,Adult,64032,1.8915406146953846,1.8762562680876869,1.8908855543535823,1.9045555022932859,German
4,4,Adult,64032,2.9413050297779897,2.924876315811596,2.940063984331371,2.9550122788199213,German
1,6,Adult,48544,8.45026173661159,8.443255116113253,8.450505273601062,8.457962160235567,German
2,6,Adult,48544,2.381524799662982,2.36812042987604,2.380772305024283,2.3925911225228713,German
3,6,Adult,48544,1.8520965123636282,1.8371275487559098,1.8516281036577809,1.8635904902869795,German
4,6,Adult,48544,2.005065361758597,1.9912768163879746,2.0048150035886776,2.019658469847092,German
5,6,Adult,48544,2.5207949708570125,2.503708775712812,2.519464873015566,2.535328669237291,German
6,6,Adult,48544,3.176961280616711,3.1615708459325838,3.1770858161066933,3.194964198055005,German
1,7,Adult,36603,8.445186080598598,8.436979884854193,8.445456169592214,8.452340587266784,German
2,7,Adult,36603,2.3627765042480315,2.3519080244191786,2.363175031124065,2.375375619344795,German
3,7,Adult,36603,1.8751993549360888,1.8587786330880842,1.874677135103326,1.8931192585934289,German
4,7,Adult,36603,2.0005121796397476,1.9840164665366133,2.0011299116702737,2.015002200187948,German
5,7,Adult,36603,2.2292753797741702,2.2168183259637266,2.229319005857917,2.2482012400781053,German
6,7,Adult,36603,2.705275983428465,2.688219470643699,2.7066885551730064,2.7276000548064654,German
7,7,Adult,36603,3.269123998518261,3.245259961523723,3.2689505457392194,3.2877966651590045,German
1,5,Adult,60355,8.455852650241127,8.44999113547003,8.456136740109903,8.463386147439987,German
2,5,Adult,60355,2.376663010249368,2.366899724968741,2.376779078726602,2.387043839734053,German
3,5,Adult,60355,1.7978804703112734,1.787004739395103,1.798110564770018,1.810320526809031,German
4,5,Adult,60355,2.2341301513206058,2.2186596522089483,2.2339904057497453,2.2496597721032345,German
5,5,Adult,60355,3.0624998371026932,3.0433619684687545,3.0616661683624873,3.078704007891255,German
1,8,Adult,25789,8.432073580270648,8.421796988266344,8.431188191853902,8.441958122708918,German
2,8,Adult,25789,2.3831016605316107,2.3649967315013107,2.382945689742334,2.399524249052492,German
3,8,Adult,25789,1.8981330084113819,1.8798806036952542,1.8969395398618436,1.916981173706173,German
4,8,Adult,25789,2.0246704671071254,2.0020056901099568,2.023206335104211,2.043985533808824,German
5,8,Adult,25789,2.183714408984342,2.1650689490094126,2.1842617837824045,2.203126571791054,German
6,8,Adult,25789,2.332052578649292,2.312218180120955,2.3319405842786094,2.354445175364128,German
7,8,Adult,25789,2.838658259262466,2.810782968344336,2.837943448461527,2.8627816135264195,German
8,8,Adult,25789,3.2978037839122787,3.2728203060364516,3.2978541832206147,3.322998924608575,German
1,9,Adult,18289,8.444085717012209,8.432879839863052,8.444415926572708,8.454006609809008,German
2,9,Adult,18289,2.3818107027008675,2.363488595706911,2.3810991462234252,2.3990439671308312,German
3,9,Adult,18289,1.8782131169882472,1.8570252339512336,1.8757694373820932,1.8949106125526165,German
4,9,Adult,18289,2.0414923558612434,2.017445917325776,2.0415823439368332,2.0644094116835476,German
5,9,Adult,18289,2.206981516697857,2.1860840254226517,2.2077499258212523,2.230872406294819,German
