size,final_cost,marginal_cost,source,language,gram
14,0.586,0.03699999999999992,wikipedia,Bosnian,unigram
2,0.872,0,wikipedia,Bosnian,trigram
3,0.594,-0.278,wikipedia,Bosnian,trigram
4,0.562,-0.03199999999999992,wikipedia,Bosnian,trigram
5,0.625,0.06299999999999994,wikipedia,Bosnian,trigram
6,0.414,-0.21100000000000002,wikipedia,Bosnian,trigram
7,0.428,0.014000000000000012,wikipedia,Bosnian,trigram
8,0.525,0.09700000000000003,wikipedia,Bosnian,trigram
9,0.534,0.009000000000000008,wikipedia,Bosnian,trigram
10,0.456,-0.07800000000000001,wikipedia,Bosnian,trigram
11,0.466,0.010000000000000009,wikipedia,Bosnian,trigram
12,0.474,0.007999999999999952,wikipedia,Bosnian,trigram
13,0.477,0.0030000000000000027,wikipedia,Bosnian,trigram
14,0.485,0.008000000000000007,wikipedia,Bosnian,trigram
5,0.928,0,wikipedia,Urdu,unigram
6,0.966,0.03799999999999992,wikipedia,Urdu,unigram
7,0.845,-0.121,wikipedia,Urdu,unigram
8,0.772,-0.07299999999999995,wikipedia,Urdu,unigram
9,0.782,0.010000000000000009,wikipedia,Urdu,unigram
10,0.731,-0.051000000000000045,wikipedia,Urdu,unigram
11,0.741,0.010000000000000009,wikipedia,Urdu,unigram
12,0.76,0.019000000000000017,wikipedia,Urdu,unigram
13,0.761,0.0010000000000000009,wikipedia,Urdu,unigram
14,0.771,0.010000000000000009,wikipedia,Urdu,unigram
3,0.792,0,wikipedia,Urdu,trigram
4,0.752,-0.040000000000000036,wikipedia,Urdu,trigram
5,0.585,-0.16700000000000004,wikipedia,Urdu,trigram
6,0.642,0.05700000000000005,wikipedia,Urdu,trigram
7,0.621,-0.02100000000000002,wikipedia,Urdu,trigram
8,0.616,-0.0050000000000000044,wikipedia,Urdu,trigram
9,0.625,0.009000000000000008,wikipedia,Urdu,trigram
10,0.545,-0.07999999999999996,wikipedia,Urdu,trigram
11,0.537,-0.008000000000000007,wikipedia,Urdu,trigram
12,0.562,0.025000000000000022,wikipedia,Urdu,trigram
13,0.553,-0.009000000000000008,wikipedia,Urdu,trigram
14,0.617,0.06399999999999995,wikipedia,Urdu,trigram
1,0.756,0,wikipedia,Afrikaans,unigram
2,0.294,-0.462,wikipedia,Afrikaans,unigram
3,0.26,-0.033999999999999975,wikipedia,Afrikaans,unigram
4,0.179,-0.08100000000000002,wikipedia,Afrikaans,unigram
5,0.179,0.0,wikipedia,Afrikaans,unigram
6,0.141,-0.038000000000000006,wikipedia,Afrikaans,unigram
7,0.14,-0.0009999999999999731,wikipedia,Afrikaans,unigram
8,0.15,0.009999999999999981,wikipedia,Afrikaans,unigram
9,0.137,-0.012999999999999984,wikipedia,Afrikaans,unigram
10,0.137,0.0,wikipedia,Afrikaans,unigram
11,0.139,0.0020000000000000018,wikipedia,Afrikaans,unigram
12,0.138,-0.0010000000000000009,wikipedia,Afrikaans,unigram
13,0.133,-0.0050000000000000044,wikipedia,Afrikaans,unigram
14,0.138,0.0050000000000000044,wikipedia,Afrikaans,unigram
2,0.562,0,wikipedia,Afrikaans,trigram
3,0.461,-0.10100000000000003,wikipedia,Afrikaans,trigram
4,0.454,-0.007000000000000006,wikipedia,Afrikaans,trigram
5,0.461,0.007000000000000006,wikipedia,Afrikaans,trigram
6,0.466,0.0050000000000000044,wikipedia,Afrikaans,trigram
7,0.283,-0.18300000000000005,wikipedia,Afrikaans,trigram
8,0.306,0.02300000000000002,wikipedia,Afrikaans,trigram
9,0.317,0.01100000000000001,wikipedia,Afrikaans,trigram
10,0.331,0.014000000000000012,wikipedia,Afrikaans,trigram
11,0.345,0.013999999999999957,wikipedia,Afrikaans,trigram
12,0.36,0.015000000000000013,wikipedia,Afrikaans,trigram
13,0.371,0.01100000000000001,wikipedia,Afrikaans,trigram
14,0.372,0.0010000000000000009,wikipedia,Afrikaans,trigram
1,0.861,0,wikipedia,Anglo-Saxon,unigram
2,0.318,-0.5429999999999999,wikipedia,Anglo-Saxon,unigram
3,0.257,-0.061,wikipedia,Anglo-Saxon,unigram
4,0.227,-0.03,wikipedia,Anglo-Saxon,unigram
5,0.221,-0.006000000000000005,wikipedia,Anglo-Saxon,unigram
6,0.194,-0.026999999999999996,wikipedia,Anglo-Saxon,unigram
7,0.213,0.01899999999999999,wikipedia,Anglo-Saxon,unigram
8,0.208,-0.0050000000000000044,wikipedia,Anglo-Saxon,unigram
9,0.198,-0.009999999999999981,wikipedia,Anglo-Saxon,unigram
10,0.198,0.0,wikipedia,Anglo-Saxon,unigram
11,0.183,-0.015000000000000013,wikipedia,Anglo-Saxon,unigram
12,0.185,0.0020000000000000018,wikipedia,Anglo-Saxon,unigram
13,0.219,0.034,wikipedia,Anglo-Saxon,unigram
14,0.22,0.0010000000000000009,wikipedia,Anglo-Saxon,unigram
2,0.306,0,wikipedia,Anglo-Saxon,trigram
3,0.305,-0.0010000000000000009,wikipedia,Anglo-Saxon,trigram
4,0.171,-0.13399999999999998,wikipedia,Anglo-Saxon,trigram
5,0.159,-0.01200000000000001,wikipedia,Anglo-Saxon,trigram
6,0.159,0.0,wikipedia,Anglo-Saxon,trigram
7,0.167,0.008000000000000007,wikipedia,Anglo-Saxon,trigram
8,0.165,-0.0020000000000000018,wikipedia,Anglo-Saxon,trigram
9,0.173,0.00799999999999998,wikipedia,Anglo-Saxon,trigram
10,0.18,0.007000000000000006,wikipedia,Anglo-Saxon,trigram
11,0.185,0.0050000000000000044,wikipedia,Anglo-Saxon,trigram
12,0.189,0.0040000000000000036,wikipedia,Anglo-Saxon,trigram
13,0.194,0.0050000000000000044,wikipedia,Anglo-Saxon,trigram
14,0.199,0.0050000000000000044,wikipedia,Anglo-Saxon,trigram
3,0.778,0,wikipedia,Slovak,unigram
4,0.726,-0.052000000000000046,wikipedia,Slovak,unigram
5,0.738,0.01200000000000001,wikipedia,Slovak,unigram
6,0.759,0.02100000000000002,wikipedia,Slovak,unigram
7,0.754,-0.0050000000000000044,wikipedia,Slovak,unigram
8,0.768,0.014000000000000012,wikipedia,Slovak,unigram
9,0.765,-0.0030000000000000027,wikipedia,Slovak,unigram
10,0.795,0.030000000000000027,wikipedia,Slovak,unigram
11,0.753,-0.04200000000000004,wikipedia,Slovak,unigram
12,0.761,0.008000000000000007,wikipedia,Slovak,unigram
13,0.77,0.009000000000000008,wikipedia,Slovak,unigram
14,0.771,0.0010000000000000009,wikipedia,Slovak,unigram
2,0.763,0,wikipedia,Slovak,trigram
3,0.468,-0.295,wikipedia,Slovak,trigram
4,0.259,-0.20900000000000002,wikipedia,Slovak,trigram
5,0.252,-0.007000000000000006,wikipedia,Slovak,trigram
6,0.254,0.0020000000000000018,wikipedia,Slovak,trigram
7,0.254,0.0,wikipedia,Slovak,trigram
8,0.261,0.007000000000000006,wikipedia,Slovak,trigram
9,0.259,-0.0020000000000000018,wikipedia,Slovak,trigram
10,0.262,0.0030000000000000027,wikipedia,Slovak,trigram
11,0.267,0.0050000000000000044,wikipedia,Slovak,trigram
12,0.273,0.006000000000000005,wikipedia,Slovak,trigram
13,0.277,0.0040000000000000036,wikipedia,Slovak,trigram
14,0.279,0.0020000000000000018,wikipedia,Slovak,trigram
2,0.816,0,wikipedia,Wu,unigram
3,0.648,-0.16799999999999993,wikipedia,Wu,unigram
4,0.63,-0.018000000000000016,wikipedia,Wu,unigram
5,0.48,-0.15000000000000002,wikipedia,Wu,unigram
6,0.471,-0.009000000000000008,wikipedia,Wu,unigram
7,0.476,0.0050000000000000044,wikipedia,Wu,unigram
8,0.333,-0.14299999999999996,wikipedia,Wu,unigram
9,0.335,0.0020000000000000018,wikipedia,Wu,unigram
10,0.318,-0.017000000000000015,wikipedia,Wu,unigram
11,0.315,-0.0030000000000000027,wikipedia,Wu,unigram
12,0.327,0.01200000000000001,wikipedia,Wu,unigram
13,0.347,0.019999999999999962,wikipedia,Wu,unigram
14,0.332,-0.014999999999999958,wikipedia,Wu,unigram
